depth,thickness
883.00,8.29
889.48,6.48
902.90,13.42
915.27,12.36
922.81,7.54
933.06,10.25
957.49,24.43
966.54,9.05
970.91,4.37
977.40,6.48
1026.40,49.00
1034.09,7.69
1049.17,15.08
1057.16,7.99
1071.48,14.33
1085.21,13.72
1097.12,11.91
1103.75,6.64
1120.19,16.44
1127.28,7.09
1134.06,6.79
1141.45,7.39
1148.24,6.79
1151.40,3.17
1156.38,4.98
1161.81,5.43
1169.35,7.54
1186.24,16.89
1195.29,9.05
1234.94,39.66
1238.71,3.77
1244.44,5.73
1251.38,6.94
1277.92,26.54
1301.90,23.98
1312.75,10.86
1333.71,20.96
1354.52,20.81
1362.82,8.29
1371.41,8.60
1380.91,9.50
1392.67,11.76
1397.50,4.83
1401.87,4.37
1407.00,5.13
1413.63,6.64
1419.82,6.18
1427.36,7.54
1445.42,18.06
1452.19,6.77
1494.49,42.30
1501.12,6.62
1516.62,15.50
1533.33,16.71
1542.81,9.48
1559.52,16.71
1572.95,13.43
1581.35,8.40
1585.26,3.91
1590.98,5.72
1599.11,8.13
1606.79,7.68
1612.66,5.87
1621.69,9.03
1630.87,9.18
1646.83,15.96
1651.80,4.97
1664.29,12.49
1685.51,21.22
1690.33,4.82
1699.66,9.33
1717.73,18.06
1732.48,14.75
1739.86,7.38
1750.09,10.24
1759.88,9.78
1780.65,20.77
1789.23,8.58
1813.77,24.54
1831.08,17.31
1886.67,55.59
1893.10,6.43
1898.36,5.27
1901.52,3.16
1907.39,5.87
1914.62,7.23
1927.72,13.10
1937.35,9.63
1946.53,9.18
1952.70,6.17
1964.60,11.89
1978.74,14.15
1988.68,9.93
1998.31,9.63
2016.83,18.52
2024.36,7.53
2035.19,10.84
2039.41,4.22
2047.39,7.98
2062.39,15.00
2069.52,7.13
2079.00,9.48
2089.53,10.54
2096.91,7.38
2112.72,15.81
2125.21,12.49
2135.60,10.39
2148.69,13.10
2167.51,18.82
2182.26,14.75
2189.64,7.38
2196.26,6.62
2200.93,4.67
2206.65,5.72
2215.23,8.58
2219.44,4.21
2226.52,7.08
2232.39,5.87
2239.91,7.53
2245.03,5.12
2252.26,7.23
2259.33,7.08
2267.46,8.13
2275.89,8.43
2283.11,7.23
2294.25,11.14
2299.97,5.72
2380.96,80.98
2389.54,8.58
2403.99,14.45
2410.61,6.62
2422.35,11.74
2430.93,8.58
2440.27,9.33
2448.85,8.58
2462.40,13.55
2471.13,8.73
2483.62,12.49
2508.76,25.14
2523.06,14.30
2540.22,17.16
2550.76,10.54
2558.88,8.13
2568.22,9.33
2576.35,8.13
2582.52,6.17
2590.04,7.53
2602.99,12.95
2613.07,10.09
2620.60,7.53
2632.34,11.74
2643.33,10.99
2649.95,6.62
2656.88,6.92
2670.88,14.00
2683.07,12.19
2694.81,11.74
2714.23,19.42
2727.03,12.79
2743.73,16.71
2750.51,6.77
2764.36,13.85
2777.10,12.74
2782.56,5.46
2788.02,5.46
2796.67,8.65
2803.50,6.83
2812.15,8.65
2825.80,13.65
2856.30,30.50
2875.87,19.57
2883.61,7.74
2892.25,8.65
2907.27,15.02
2913.65,6.37
2920.93,7.28
2969.63,48.70
2975.55,5.92
2983.74,8.19
2992.39,8.65
3003.77,11.38
3009.68,5.92
3015.15,5.46
3023.34,8.19
3026.98,3.64
3038.36,11.38
3060.21,21.85
3068.85,8.65
3077.50,8.65
3087.51,10.01
3100.26,12.74
3111.18,10.92
3114.37,3.19
3123.52,9.15
3152.60,29.08
3160.79,8.19
3171.72,10.92
3177.18,5.46
3189.01,11.83
3198.57,9.56
3209.04,10.47
3221.33,12.29
3233.16,11.83
3240.45,7.28
3248.18,7.74
3256.38,8.19
3266.84,10.47
3273.67,6.83
3280.95,7.28
3295.06,14.11
3310.99,15.93
3318.73,7.74
3325.56,6.83
3331.48,5.92
3342.85,11.38
3347.86,5.01
3366.52,18.66
3385.29,6.94
3391.47,6.18
3398.86,7.39
3403.08,4.22
3412.43,9.35
3463.17,5.96
3474.33,11.16
3481.79,7.46
3496.19,14.40
3507.72,11.53
3517.52,9.80
3525.67,8.14
3533.96,8.29
3543.99,10.03
3549.56,5.58
3563.89,14.32
3578.89,15.00
3585.60,6.71
3593.37,7.77
3599.62,6.26
3607.24,7.61
3616.13,8.90
3624.80,8.67
3642.22,17.42
3657.97,15.75
3686.55,28.57
3694.61,8.07
3699.66,5.05
3705.47,5.80
3711.58,6.11
3719.04,7.46
3730.65,11.61
3736.98,6.33
3744.82,7.84
3753.94,9.12
3770.30,16.36
3803.85,33.55
3811.62,7.77
3816.75,5.13
3861.75,45.00
3868.99,7.24
3877.05,8.07
3883.24,6.18
3889.87,6.63
3895.90,6.03
3905.17,9.27
3910.90,5.73
3922.51,11.61
3925.91,3.39
3931.71,5.81
3936.99,5.28
3949.20,12.21
3954.33,5.13
3962.47,8.14
3972.87,10.40
3980.26,7.39
3989.38,9.12
4003.48,14.10
4009.59,6.11
4021.88,12.29
4035.45,13.57
4043.36,7.92
4051.96,8.59
4073.24,21.28
4098.47,25.23
4111.59,13.12
4118.98,7.39
4124.93,5.96
4134.36,9.42
4150.14,15.78
4165.93,15.78
4170.89,4.96
4181.26,10.37
4189.83,8.57
4204.26,14.43
4215.08,10.82
4222.75,7.67
4232.67,9.92
4243.50,10.82
4251.16,7.67
4259.73,8.57
4269.20,9.47
4275.52,6.31
4283.18,7.67
4293.10,9.92
4312.50,19.39
4319.71,7.22
4325.58,5.86
4337.30,11.73
4344.07,6.76
4350.83,6.76
4360.30,9.47
4376.99,16.69
4385.11,8.12
4390.52,5.41
4399.09,8.57
4402.69,3.61
4416.68,13.98
4455.46,38.78
4461.32,5.86
4464.93,3.61
4467.64,2.71
4469.89,2.25
4473.50,3.61
4477.11,3.61
4482.52,5.41
4486.58,4.06
4492.89,6.31
4503.72,10.82
4509.13,5.41
4519.95,10.82
4532.58,12.63
4539.80,7.22
4548.81,9.02
4551.97,3.16
4557.83,5.86
4567.31,9.47
4599.33,32.02
4607.89,8.57
4614.21,6.31
4623.68,9.47
4637.21,13.53
4660.21,23.00
4662.46,2.25
4671.48,9.02
4676.90,5.41
4682.31,5.41
4685.92,3.61
4692.23,6.31
4698.54,6.31
4705.76,7.22
4708.92,3.16
4717.03,8.12
4723.35,6.31
4727.41,4.06
4732.37,4.96
4746.80,14.43
4753.11,6.31
4762.13,9.02
4769.80,7.67
4776.56,6.76
4782.43,5.86
4791.45,9.02
4796.86,5.41
4800.47,3.61
4804.07,3.61
4807.23,3.16
4814.45,7.22
4824.82,10.37
4828.88,4.06
4844.66,15.78
4846.92,2.25
4857.74,10.82
4862.25,4.51
4865.41,3.16
4873.53,8.12
4883.45,9.92
4895.62,12.18
4903.29,7.67
4910.96,7.67
4915.92,4.96
4920.43,4.51
4926.74,6.31
4934.56,7.82
4953.56,19.00
4959.66,6.10
4965.98,6.31
4970.94,4.96
4978.61,7.67
4991.69,13.08
4998.00,6.31
5004.31,6.31
5007.47,3.16
5011.08,3.61
5013.78,2.71
5019.65,5.86
5023.71,4.06
5026.41,2.71
5030.47,4.06
5037.23,6.76
5044.45,7.22
5050.76,6.31
5062.94,12.18
5067.00,4.06
5072.41,5.41
5078.27,5.86
5080.98,2.71
5084.59,3.61
5088.20,3.61
5091.35,3.16
5095.86,4.51
5103.53,7.67
5108.04,4.51
5116.16,8.12
5125.63,9.47
5130.59,4.96
5134.65,4.06
5142.77,8.12
5148.18,5.41
5154.49,6.31
5160.35,5.86
5164.86,4.51
5175.24,10.37
5180.20,4.96
5185.16,4.96
5189.22,4.06
5194.63,5.41
5199.59,4.96
5208.16,8.57
5211.32,3.16
5220.34,9.02
5228.00,7.67
5237.92,9.92
5244.69,6.76
5253.26,8.57
5256.87,3.61
5265.89,9.02
5270.40,4.51
5275.36,4.96
5280.33,4.97
5289.82,9.49
5297.96,8.14
5310.17,12.21
5337.30,27.13
5339.56,2.26
5347.69,8.14
5354.48,6.78
5360.80,6.33
5374.37,13.56
5387.48,13.11
5391.55,4.07
5396.07,4.52
5401.04,4.97
5405.56,4.52
5413.25,7.69
5421.84,8.59
5430.43,8.59
5437.21,6.78
5449.42,12.21
5453.49,4.07
5463.43,9.95
5468.86,5.43
5471.12,2.26
5478.80,7.69
5483.33,4.52
5487.85,4.52
5491.92,4.07
5499.15,7.23
5502.77,3.62
5507.29,4.52
5513.16,5.88
5520.85,7.69
5523.56,2.71
5528.08,4.52
5538.03,9.95
5586.86,48.83
5601.32,14.47
5610.82,9.49
5618.96,8.14
5626.64,7.69
5633.42,6.78
5640.66,7.23
5650.15,9.49
5656.48,6.33
5660.55,4.07
5670.50,9.95
5679.54,9.04
5689.94,10.40
5702.14,12.21
5713.45,11.30
5721.13,7.69
5736.96,15.82
5743.29,6.33
5750.07,6.78
5760.47,10.40
5765.89,5.43
5770.41,4.52
5777.65,7.23
5784.88,7.23
5788.04,3.16
5795.28,7.23
5800.25,4.97
5805.22,4.97
5810.65,5.43
5815.17,4.52
5826.93,11.75
5832.80,5.88
5838.23,5.43
5845.01,6.78
5850.43,5.43
5854.50,4.07
5858.57,4.07
5863.09,4.52
5869.88,6.78
5873.94,4.07
5878.01,4.07
5883.89,5.88
5892.48,8.59
5902.88,10.40
5911.02,8.14
5915.99,4.97
5925.03,9.04
5934.53,9.49
5943.57,9.04
5950.80,7.23
5958.49,7.69
5962.10,3.62
5965.72,3.62
5970.24,4.52
5973.41,3.16
5977.02,3.62
5984.71,7.69
5993.75,9.04
5999.18,5.43
6006.41,7.23
6014.55,8.14
6024.95,10.40
6033.09,8.14
6040.32,7.23
6046.65,6.33
6057.50,10.85
6062.02,4.52
6068.80,6.78
6074.68,5.88
6081.01,6.33
6084.63,3.62
6089.60,4.97
6098.19,8.59
6109.04,10.85
6114.92,5.88
6121.25,6.33
6128.48,7.23
6134.36,5.88
6138.43,4.07
6145.21,6.78
6148.37,3.16
6152.44,4.07
6161.48,9.04
6173.24,11.75
6183.18,9.95
6199.91,16.73
6204.43,4.52
6211.67,7.23
6218.00,6.33
6225.23,7.23
6230.20,4.97
6236.08,5.88
6245.58,9.49
6252.36,6.78
6260.86,8.51
6264.89,4.03
6306.52,41.63
6318.16,11.64
6322.64,4.48
6328.01,5.37
6333.83,5.82
6338.30,4.48
6347.70,9.40
6352.63,4.92
6362.92,10.30
6367.40,4.48
6374.56,7.16
6382.62,8.06
6387.09,4.48
6390.68,3.58
6394.70,4.03
6399.18,4.48
6403.66,4.48
6408.58,4.92
6414.40,5.82
6425.14,10.74
6437.23,12.09
6443.05,5.82
6450.66,7.61
6456.48,5.82
6460.95,4.48
6463.64,2.69
6469.01,5.37
6472.59,3.58
6476.62,4.03
6486.92,10.30
6509.30,22.38
6515.12,5.82
6519.59,4.48
6524.97,5.37
6538.39,13.43
6543.32,4.92
6548.24,4.92
6551.38,3.13
6554.51,3.13
6557.20,2.69
6562.12,4.92
6572.41,10.30
6574.65,2.24
6585.84,11.19
6590.32,4.48
6595.69,5.37
6598.82,3.13
6606.43,7.61
6611.81,5.37
6617.18,5.37
6627.03,9.85
6632.85,5.82
6636.87,4.03
6640.45,3.58
6644.93,4.48
6652.99,8.06
6660.15,7.16
6668.21,8.06
6675.37,7.16
6684.77,9.40
6694.17,9.40
6699.54,5.37
6708.05,8.51
6714.31,6.27
6719.69,5.37
6733.26,13.57
6744.76,11.50
6764.46,19.70
6767.46,3.00
6776.10,8.64
6788.18,12.09
6793.99,5.82
6803.39,9.40
6821.30,17.91
6823.98,2.69
6827.57,3.58
6832.04,4.48
6836.07,4.03
6842.34,6.27
6849.95,7.61
6853.08,3.13
6858.00,4.92
6864.27,6.27
6870.54,6.27
6877.70,7.16
6887.10,9.40
6894.26,7.16
6931.86,37.60
6936.34,4.48
6944.85,8.51
6951.11,6.27
6956.48,5.37
6963.65,7.16
6967.67,4.03
6979.31,11.64
6993.19,13.88
7020.50,27.31
7027.66,7.16
7037.51,9.85
7046.91,9.40
7053.62,6.71
7060.78,7.16
7063.47,2.69
7072.42,8.95
7081.82,9.40
7085.40,3.58
7091.22,5.82
7096.15,4.92
7100.17,4.03
7103.76,3.58
7108.68,4.92
7117.18,8.51
7128.38,11.19
7135.99,7.61
7141.36,5.37
7147.00,5.64
7155.05,8.05
7160.92,5.87
7163.85,2.93
7170.02,6.17
7174.46,4.44
7178.52,4.06
7182.06,3.54
7186.35,4.29
7190.71,4.36
7194.70,3.99
7197.63,2.93
7200.79,3.16
7208.84,8.05
7220.96,12.11
7232.83,11.87
7259.58,26.75
7266.48,6.90
7271.59,5.12
7276.59,5.00
7304.92,28.33
7311.69,6.77
7316.81,5.12
7319.06,2.26
7322.52,3.46
7324.86,2.33
7328.84,3.99
7338.70,9.86
7347.66,8.96
7364.66,17.00
7369.85,5.19
7377.30,7.45
7386.70,9.40
7407.84,21.14
7412.43,4.59
7418.90,6.47
7423.49,4.59
7429.51,6.02
7434.62,5.12
7443.13,8.50
7451.03,7.90
7472.99,21.97
7478.34,5.34
7485.18,6.85
7493.38,8.20
7498.20,4.82
7505.35,7.15
7513.17,7.82
7518.06,4.89
7523.33,5.27
7526.26,2.93
7530.10,3.84
7537.32,7.22
7545.22,7.90
7553.35,8.13
7560.42,7.07
7568.77,8.35
7573.89,5.12
7582.24,8.35
7585.32,3.08
7593.75,8.43
7596.68,2.93
7601.05,4.36
7612.78,11.74
7635.52,22.74
7640.76,5.24
7648.14,7.37
7652.73,4.59
7655.97,3.24
7662.06,6.09
7669.59,7.52
7680.65,11.06
7684.33,3.69
7687.04,2.71
7690.88,3.84
7696.82,5.94
7703.22,6.39
7706.83,3.61
7711.12,4.29
7716.31,5.19
7721.95,5.64
7728.95,7.00
7737.15,8.20
7747.53,10.38
7753.93,6.40
7761.15,7.22
7765.96,4.81
7771.91,5.94
7776.27,4.36
7780.56,4.29
7787.33,6.77
7792.45,5.12
7798.01,5.57
7801.10,3.08
7805.24,4.14
7808.17,2.93
7812.83,4.66
7817.50,4.66
7819.76,2.26
7823.44,3.69
7826.68,3.23
7829.84,3.16
7833.75,3.91
7923.75,90.00
7929.22,5.47
7932.08,2.86
7935.32,3.24
7942.39,7.07
7947.21,4.81
7952.02,4.82
7959.62,7.60
7968.57,8.95
7975.42,6.85
7981.89,6.47
7987.83,5.94
7997.09,9.25
8003.18,6.09
8007.24,4.06
8012.28,5.04
8017.40,5.12
8024.32,6.92
8028.31,3.99
8034.48,6.17
8040.05,5.57
8042.75,2.71
8049.00,6.24
8052.08,3.08
8056.30,4.21
8061.19,4.89
8068.41,7.22
8075.56,7.15
8080.03,4.47
8091.43,11.40
8095.49,4.06
8100.91,5.42
8103.62,2.71
8105.43,1.81
8108.59,3.16
8112.65,4.06
8115.51,2.86
8121.30,5.79
8126.19,4.89
8137.10,10.91
8160.87,23.77
8163.58,2.71
8166.67,3.08
8171.11,4.44
8174.49,3.39
8176.82,2.33
8180.81,3.99
8184.42,3.61
8186.23,1.81
8190.29,4.06
8195.26,4.97
8198.34,3.08
8202.93,4.59
8206.39,3.46
8210.15,3.76
8212.86,2.71
8215.50,2.63
8221.51,6.02
8225.58,4.06
8230.32,4.74
8235.51,5.19
8241.30,5.79
