depth ,thickness
4163.73,3.14
4167.32,3.59
4170.91,3.59
4175.84,4.94
4178.98,3.14
4188.86,9.87
4193.79,4.94
4199.63,5.83
4202.32,2.69
4204.12,1.80
4208.16,4.04
4210.40,2.24
4214.44,4.04
4220.27,5.83
4222.97,2.69
4231.94,8.98
4235.53,3.59
4238.22,2.69
4243.16,4.94
4247.20,4.04
4252.14,4.94
4257.07,4.94
4262.01,4.94
4269.64,7.63
4273.68,4.04
4277.27,3.59
4279.51,2.24
4283.55,4.04
4286.69,3.14
4291.63,4.94
4297.46,5.83
4303.75,6.28
4309.58,5.83
4316.76,7.18
4327.08,10.32
4337.41,10.32
4341.89,4.49
4346.83,4.94
4353.11,6.28
4357.60,4.49
4362.09,4.49
4373.76,11.67
4377.80,4.04
4386.32,8.53
4391.26,4.94
4394.40,3.14
4400.24,5.83
4405.17,4.94
4407.87,2.69
4410.56,2.69
4413.25,2.69
4415.95,2.69
4423.57,7.63
4429.41,5.83
4433.00,3.59
4437.14,4.14
4443.08,5.94
4445.71,2.63
4452.93,7.22
4456.54,3.61
4465.46,8.91
4468.24,2.78
4471.89,3.65
4474.18,2.29
4480.46,6.28
4483.62,3.16
4486.74,3.12
4489.98,3.23
4498.40,8.42
4503.78,5.38
4513.90,10.12
4544.93,31.03
4553.09,8.16
4556.74,3.65
4559.82,3.08
4562.15,2.33
4564.79,2.63
4567.95,3.16
4571.22,3.27
4574.34,3.12
4576.15,1.81
4581.11,4.96
4587.35,6.24
4596.42,9.06
4607.33,10.91
4614.51,7.18
4620.38,5.87
4627.60,7.22
4634.33,6.73
4638.81,4.48
4642.94,4.14
4647.91,4.96
4651.97,4.06
4655.17,3.20
4657.87,2.71
4662.20,4.33
4664.23,2.03
4668.14,3.91
4675.36,7.22
4680.40,5.04
4683.53,3.12
4686.31,2.78
4693.53,7.22
4696.65,3.12
4700.26,3.61
4704.62,4.36
4709.25,4.63
4712.00,2.75
4714.18,2.18
4717.79,3.61
4722.30,4.51
4725.50,3.20
4728.70,3.20
4734.98,6.28
4737.72,2.75
