depth,thickness
2950.00,3.63
2956.35,6.35
2960.88,4.53
2964.05,3.17
2970.40,6.35
2978.56,8.16
2987.17,8.61
2990.80,3.63
2995.33,4.53
2999.86,4.53
3004.85,4.99
3011.19,6.35
3017.54,6.35
3028.42,10.88
3032.95,4.53
3036.57,3.63
3041.56,4.99
3047.00,5.44
3050.13,3.13
3054.60,4.47
3062.64,8.05
3067.56,4.92
3072.92,5.36
3077.39,4.47
3082.76,5.36
3086.33,3.58
3088.57,2.23
3092.15,3.58
3095.72,3.58
3101.53,5.81
3105.55,4.02
3113.15,7.60
3117.18,4.02
3123.88,6.70
3126.56,2.68
3129.24,2.68
3133.27,4.02
3137.29,4.02
3141.76,4.47
3147.12,5.36
3150.70,3.58
3157.85,7.15
3161.87,4.02
3165.45,3.58
3170.81,5.36
3175.73,4.92
3180.65,4.92
3185.12,4.47
3189.14,4.02
3194.06,4.92
3197.63,3.58
3202.10,4.47
3205.23,3.13
3209.70,4.47
3213.72,4.02
3219.09,5.36
3225.79,6.70
3230.71,4.92
3235.63,4.92
3239.65,4.02
3245.46,5.81
3248.14,2.68
3253.51,5.36
3256.63,3.13
3259.32,2.68
3264.68,5.36
3270.49,5.81
3274.51,4.02
3279.43,4.92
3286.58,7.15
3290.16,3.58
3297.76,7.60
3303.12,5.36
3306.70,3.58
3311.61,4.92
3316.53,4.92
3321.00,4.47
3323.25,2.25
3326.84,3.59
3333.13,6.29
3340.32,7.19
3347.96,7.64
3352.45,4.49
3358.29,5.84
3362.33,4.04
3369.07,6.74
3372.67,3.59
3374.91,2.25
3380.30,5.39
3383.00,2.70
3385.70,2.70
3387.49,1.80
3392.43,4.94
3395.13,2.70
3397.83,2.70
3401.87,4.04
3409.96,8.09
3418.04,8.09
3431.07,13.03
3464.77,33.70
3471.51,6.74
3476.00,4.49
3480.04,4.04
3483.64,3.59
3486.78,3.14
3490.83,4.04
3496.22,5.39
3499.81,3.59
3502.96,3.14
3507.45,4.49
3511.94,4.49
3517.33,5.39
3526.32,8.99
3532.61,6.29
3537.55,4.94
3546.99,9.43
3551.48,4.49
3557.77,6.29
3564.51,6.74
3568.55,4.04
3572.14,3.59
3574.84,2.70
3576.64,1.80
3580.23,3.59
3582.93,2.70
3586.97,4.04
3590.12,3.14
3595.51,5.39
3600.45,4.94
3603.14,2.70
3608.99,5.84
3613.93,4.94
3617.07,3.14
3622.91,5.84
3626.96,4.04
3630.55,3.59
3633.25,2.70
3636.84,3.59
3640.88,4.04
3645.83,4.94
3650.32,4.49
3656.16,5.84
3661.10,4.94
3669.64,8.54
3672.78,3.14
3676.83,4.04
3679.07,2.25
3685.36,6.29
3689.41,4.04
3695.70,6.29
3700.64,4.94
3704.23,3.59
3707.83,3.59
3710.97,3.14
3713.67,2.70
3716.36,2.70
3719.96,3.59
3728.04,8.09
3734.33,6.29
3737.48,3.14
3741.97,4.49
3748.26,6.29
3754.55,6.29
3761.74,7.19
3767.58,5.84
3772.07,4.49
3779.26,7.19
3783.75,4.49
3787.35,3.59
3791.39,4.04
3796.78,5.39
3800.83,4.04
3808.01,7.19
3815.20,7.19
3819.70,4.49
3825.54,5.84
3828.23,2.70
3831.83,3.59
3837.22,5.39
3839.01,1.80
3845.30,6.29
3847.55,2.25
3850.25,2.70
3853.84,3.59
3859.68,5.84
3862.83,3.14
3869.12,6.29
3871.36,2.25
3875.86,4.49
3878.55,2.70
3883.04,4.49
3886.64,3.59
3889.78,3.14
3895.62,5.84
3905.06,9.43
3919.88,14.83
3926.62,6.74
3932.46,5.84
3937.41,4.94
3942.35,4.94
3945.04,2.70
3949.09,4.04
3954.03,4.94
3957.62,3.59
3961.22,3.59
3964.81,3.59
3968.41,3.59
3975.59,7.19
3978.74,3.14
3982.78,4.04
3986.38,3.59
3991.32,4.94
3995.81,4.49
3999.86,4.04
