depth,thickness
519.34,8.34
527.01,7.67
538.92,11.91
549.51,10.59
556.13,6.62
562.48,6.35
573.33,10.85
581.27,7.94
589.08,7.81
595.03,5.95
602.70,7.67
653.51,50.81
659.33,5.82
672.56,13.23
681.29,8.73
693.46,12.17
704.44,10.98
715.56,11.12
719.13,3.57
731.70,12.57
739.51,7.81
745.73,6.22
750.63,4.90
758.04,7.41
764.66,6.62
769.42,4.76
776.83,7.41
792.71,15.88
797.48,4.77
805.01,7.53
835.50,30.49
840.10,4.60
844.39,4.30
846.09,1.70
860.48,14.39
888.06,27.58
902.65,14.59
914.51,11.86
938.79,24.28
944.45,5.66
957.11,12.66
966.70,9.59
971.09,4.40
977.56,6.46
995.47,17.91
1007.47,12.00
1011.93,4.46
1015.53,3.60
1021.92,6.39
1035.44,13.52
1041.17,5.73
1058.63,17.45
1070.15,11.52
1092.27,22.12
1110.99,18.72
1117.05,6.06
1134.10,17.05
1158.70,24.60
1163.78,5.08
1166.54,2.86
1169.27,2.73
1175.33,6.06
1182.60,7.26
1188.92,6.33
1198.92,9.99
1215.30,16.39
1230.09,14.79
1234.69,4.60
1242.81,8.13
1267.26,24.45
1273.92,6.66
1281.25,7.33
1297.77,16.52
1304.03,6.26
1311.63,7.59
1319.82,8.19
1328.41,8.59
1338.41,10.00
1365.91,27.50
1376.04,10.13
1395.04,19.00
1417.71,22.67
1467.44,50.43
1477.63,10.19
1483.83,6.20
1488.62,4.80
1495.75,7.13
1502.94,7.19
1512.87,9.93
1522.36,9.49
1529.76,7.39
1534.75,5.00
1541.75,6.99
1558.33,16.59
1571.32,12.99
1580.32,8.99
1602.90,22.58
1612.19,9.29
1622.18,9.99
1625.48,3.30
1638.35,12.87
1659.35,21.00
1670.55,11.19
1681.14,10.59
1687.93,6.79
1703.42,15.49
1717.91,14.49
1727.50,9.59
1737.74,10.24
1760.92,23.18
1775.47,14.55
1783.02,7.55
1790.57,7.55
1796.50,5.93
1802.97,6.47
1815.90,12.94
1823.99,8.09
1835.31,11.32
1840.70,5.39
1848.78,8.09
1855.25,6.47
1863.88,8.62
1871.42,7.55
1879.51,8.09
1889.75,10.24
1899.99,10.24
1987.85,87.86
1994.32,6.47
2002.94,8.62
2007.80,4.85
2018.04,10.24
2026.66,8.62
2035.29,8.62
2042.83,7.55
2057.93,15.09
2069.24,11.32
2087.03,17.79
2124.03,37.00
2140.93,16.90
2160.88,19.94
2171.66,10.78
2179.21,7.55
2187.83,8.62
2194.30,6.47
2200.23,5.93
2208.85,8.62
2220.71,11.86
2236.34,15.63
2243.89,7.55
2253.59,9.70
2261.14,7.55
2264.91,3.77
2273.54,8.62
2285.93,12.40
2297.79,11.86
2305.34,7.55
2317.20,11.86
2331.21,14.01
2349.00,17.79
2353.31,4.31
2366.25,12.94
2382.42,16.17
2388.35,5.93
2392.66,4.31
2397.51,4.85
2401.82,4.31
2409.37,7.55
2423.92,14.55
2448.72,24.80
2468.12,19.40
2475.13,7.01
2481.60,6.47
2490.23,8.62
2498.85,8.62
2507.85,9.00
2548.99,41.14
2555.99,7.00
2562.99,7.01
2569.46,6.47
2579.16,9.70
2585.09,5.93
2591.02,5.93
2610.43,19.40
2616.36,5.93
2628.22,11.86
2647.08,18.87
2659.48,12.40
2670.80,11.32
2678.88,8.09
2689.67,10.78
2712.84,23.18
2719.85,7.01
2730.59,10.74
2754.79,24.20
2762.97,8.09
2773.75,10.78
2781.84,8.09
2797.47,15.63
2804.48,7.01
2814.18,9.70
2826.04,11.86
2840.59,14.55
2848.68,8.09
2854.61,5.93
2864.85,10.24
2879.94,15.09
2885.33,5.39
2890.72,5.39
2902.04,11.32
2919.83,17.79
2925.76,5.93
2930.61,4.85
2935.46,4.85
2950.02,14.55
2966.73,16.71
2985.59,18.87
2989.36,3.77
2996.37,7.01
3004.46,8.09
3010.39,5.93
3016.32,5.93
3035.72,19.40
3046.50,10.78
3056.73,10.23
3062.89,6.16
3074.75,11.86
3084.34,9.60
3094.21,9.87
3102.99,8.78
3112.23,9.23
3122.55,10.32
3127.35,4.80
3134.05,6.70
3144.18,10.14
3164.28,20.10
3176.87,12.58
3185.01,8.15
3198.50,13.49
3204.48,5.98
3211.09,6.61
3220.86,9.78
3235.53,14.67
3246.30,10.77
3259.43,13.13
3284.42,24.99
3302.34,17.93
3307.77,5.43
3315.38,7.60
3325.16,9.78
3336.56,11.41
3343.08,6.52
3349.60,6.52
3359.38,9.78
3395.23,35.85
3399.48,4.25
3402.83,3.35
3444.02,41.19
3453.89,9.87
3463.67,9.78
3468.47,4.80
3473.54,5.07
3478.34,4.80
3485.31,6.97
3489.65,4.35
3505.95,16.30
3509.39,3.44
3516.36,6.97
3521.16,4.80
3525.05,3.89
3529.40,4.35
3534.74,5.34
3541.44,6.70
3547.50,6.07
3554.79,7.29
3566.53,11.74
3577.91,11.38
3601.20,23.29
3606.89,5.69
3613.82,6.93
3622.18,8.36
3628.94,6.76
3635.69,6.76
3648.32,12.62
3676.06,27.74
3683.88,7.82
3690.28,6.40
3694.19,3.91
3702.06,7.87
3726.73,24.67
3738.33,11.60
3743.33,5.00
3753.66,10.33
3763.14,9.47
3775.41,12.27
3784.74,9.33
3791.67,6.93
3803.54,11.87
3815.15,11.60
3825.41,10.27
3841.15,15.74
3855.82,14.67
3863.69,7.87
3870.62,6.93
3882.89,12.27
3902.23,19.34
3911.69,9.47
3918.63,6.93
3934.90,16.27
3941.57,6.67
3948.50,6.93
3960.50,12.00
3978.64,18.14
3987.44,8.80
3996.64,9.20
4005.44,8.80
4011.84,6.40
4030.78,18.94
4073.78,43.00
4078.39,4.61
4081.99,3.60
4084.79,2.80
4087.06,2.27
4090.92,3.87
4094.39,3.47
4098.93,4.53
4103.33,4.40
4108.79,5.47
4116.93,8.13
4126.66,9.73
4141.47,14.80
4152.27,10.80
4159.87,7.60
4169.74,9.87
4174.67,4.93
4184.41,9.73
4196.01,11.60
4228.68,32.67
4237.62,8.93
4242.95,5.33
4249.48,6.53
4258.29,8.80
4284.42,26.14
4287.22,2.80
4296.29,9.07
4302.16,5.87
4308.03,5.87
4313.09,5.07
4321.10,8.00
4327.23,6.13
4333.50,6.27
4336.03,2.53
4344.17,8.13
4350.30,6.13
4355.50,5.20
4361.38,5.88
4378.11,16.73
4383.98,5.88
4392.12,8.14
4401.16,9.04
4408.39,7.23
4416.08,7.69
4426.02,9.95
4433.26,7.23
4438.23,4.97
4446.37,8.14
4450.89,4.52
4459.93,9.04
4474.85,14.92
4479.37,4.52
4494.74,15.37
4498.81,4.07
4509.66,10.85
4515.99,6.33
4520.51,4.52
4529.55,9.04
4538.59,9.04
4552.61,14.01
4560.29,7.69
4567.07,6.78
4572.04,4.97
4577.02,4.97
4582.89,5.88
4589.68,6.78
4613.64,23.96
4619.96,6.33
4625.39,5.42
4631.72,6.33
4639.40,7.69
4651.16,11.75
4656.58,5.42
4663.82,7.23
4668.79,4.97
4673.31,4.52
4678.28,4.97
4682.35,4.07
4686.42,4.07
4696.37,9.95
4703.60,7.23
4709.93,6.33
4714.45,4.52
4729.37,14.92
4736.60,7.23
4743.83,7.23
4746.55,2.71
4750.16,3.62
4755.59,5.42
4759.20,3.62
4765.53,6.33
4774.57,9.04
4780.00,5.42
4796.27,16.27
4801.25,4.97
4804.86,3.62
4811.64,6.78
4817.52,5.88
4823.85,6.33
4829.28,5.42
4836.06,6.78
4846.91,10.85
4851.43,4.52
4856.40,4.97
4860.02,3.62
4865.89,5.88
4870.41,4.52
4883.07,12.66
4893.47,10.40
4903.87,10.40
4912.46,8.59
4919.69,7.23
4928.73,9.04
4932.80,4.07
4943.20,10.40
4946.81,3.62
4952.69,5.88
4958.57,5.88
4966.71,8.14
4971.68,4.97
4978.91,7.23
4998.35,19.44
5003.32,4.97
5011.91,8.59
5018.69,6.78
5022.31,3.62
5030.90,8.59
5040.85,9.95
5045.37,4.52
5049.89,4.52
5054.41,4.52
5059.83,5.42
5066.16,6.33
5072.94,6.78
5081.53,8.59
5087.41,5.88
5096.00,8.59
5100.07,4.07
5109.11,9.04
5114.53,5.42
5119.51,4.97
5127.64,8.14
5131.26,3.62
5136.23,4.97
5141.66,5.42
5149.34,7.69
5153.41,4.07
5157.03,3.62
5161.55,4.52
5167.88,6.33
5171.50,3.62
5174.66,3.16
5185.06,10.40
5237.06,52.00
5249.25,12.19
5256.94,7.69
5262.36,5.42
5269.60,7.23
5274.12,4.52
5280.45,6.33
5288.58,8.14
5294.91,6.33
5298.08,3.16
5306.21,8.14
5313.45,7.23
5322.94,9.49
5334.69,11.75
5343.28,8.59
5350.52,7.23
5364.08,13.56
5369.96,5.88
5375.38,5.42
5382.61,7.23
5388.04,5.42
5392.56,4.52
5400.25,7.69
5406.12,5.88
5413.36,7.23
5420.14,6.78
5426.01,5.88
5430.99,4.97
5435.51,4.52
5446.36,10.85
5451.78,5.42
5456.75,4.97
5463.08,6.33
5467.15,4.07
5470.32,3.16
5474.84,4.52
5478.91,4.07
5483.88,4.97
5489.30,5.42
5492.92,3.62
5497.89,4.97
5505.13,7.23
5515.98,10.85
5519.59,3.62
5525.02,5.42
5534.96,9.95
5541.29,6.33
5548.98,7.69
5554.85,5.88
5560.73,5.88
5564.35,3.62
5567.51,3.16
5572.03,4.52
5575.65,3.62
5579.27,3.62
5585.60,6.33
5591.02,5.42
5594.64,3.62
5598.25,3.62
5626.30,6.80
5634.00,7.70
5640.35,6.34
5648.96,8.61
5653.49,4.53
5659.83,6.34
5666.18,6.34
5673.43,7.25
5677.51,4.08
5680.68,3.17
5689.74,9.06
5700.16,10.42
5706.05,5.89
5711.49,5.44
5715.57,4.08
5718.74,3.17
5724.63,5.89
5727.35,2.72
5735.06,7.70
5737.77,2.72
5741.40,3.63
5746.84,5.44
5754.99,8.16
5758.17,3.17
5763.15,4.98
5775.39,12.24
5781.28,5.89
5786.72,5.44
5792.15,5.44
5798.95,6.80
5803.48,4.53
5807.56,4.08
5813.91,6.34
5822.51,8.61
5866.47,43.96
5877.80,11.33
5882.78,4.98
5888.68,5.89
5895.02,6.34
5900.91,5.89
5908.61,7.70
5913.60,4.98
5919.49,5.89
5926.29,6.80
5931.27,4.98
5938.98,7.70
5947.59,8.61
5953.48,5.89
5957.10,3.63
5960.73,3.63
5967.07,6.34
5970.70,3.63
5976.59,5.89
5982.48,5.89
5994.26,11.78
6009.22,14.95
6014.65,5.44
6022.36,7.70
6027.34,4.98
6033.23,5.89
6037.76,4.53
6044.11,6.34
6048.64,4.53
6053.62,4.98
6064.50,10.88
6086.25,21.75
6092.60,6.34
6097.58,4.98
6103.47,5.89
6108.46,4.98
6112.99,4.53
6117.07,4.08
6122.96,5.89
6130.66,7.70
6135.19,4.53
6138.36,3.17
6144.71,6.34
6161.02,16.31
6173.26,12.24
6177.79,4.53
6185.49,7.70
6189.57,4.08
6197.27,7.70
6202.71,5.44
6209.51,6.80
6214.04,4.53
6222.20,8.16
6228.09,5.89
6234.89,6.80
6240.32,5.44
6244.86,4.53
6253.92,9.06
6264.34,10.42
6274.76,10.42
6280.20,5.44
6290.17,9.97
6305.13,14.95
6312.38,7.25
6316.91,4.53
6322.35,5.44
6328.24,5.89
6340.47,12.24
6358.72,18.25
6362.22,3.50
6373.10,10.88
6382.62,9.52
6388.96,6.34
6398.48,9.52
6416.15,17.67
6420.23,4.08
6423.40,3.17
6428.38,4.98
6433.82,5.44
6440.17,6.34
6443.79,3.63
6448.78,4.98
6455.57,6.80
6461.92,6.34
6468.71,6.80
6476.42,7.70
6485.23,8.82
6526.06,40.82
6530.34,4.28
6538.50,8.16
6545.75,7.25
6551.64,5.89
6557.99,6.34
6562.97,4.98
6574.30,11.33
6586.99,12.69
6611.91,24.92
6621.88,9.97
6630.49,8.61
6638.65,8.16
6645.90,7.25
6654.06,8.16
6657.23,3.17
6664.48,7.25
6673.54,9.06
6678.07,4.53
6685.32,7.25
6694.39,9.06
6703.00,8.61
6711.61,8.61
6724.75,13.14
6731.54,6.80
6737.89,6.34
6746.95,9.06
6753.30,6.34
6756.92,3.63
6763.27,6.34
6767.34,4.08
6773.69,6.34
6777.77,4.08
6781.85,4.08
6785.92,4.08
6790.46,4.53
6794.53,4.08
6797.71,3.17
6801.33,3.63
6804.50,3.17
6811.75,7.25
6822.63,10.88
6835.32,12.69
6861.60,26.28
6870.21,8.61
6879.27,9.06
6907.10,27.83
6912.80,5.70
6917.79,4.98
6920.96,3.17
6925.95,4.98
6929.12,3.17
6934.11,4.98
6945.89,11.78
6955.86,9.97
6969.90,14.05
6974.89,4.98
6983.50,8.61
6990.75,7.25
7012.50,21.75
7020.38,7.88
7025.64,5.26
7032.11,6.47
7038.58,6.47
7048.69,10.11
7056.38,7.69
7073.37,16.99
7080.65,7.28
7087.12,6.47
7095.21,8.09
7100.07,4.85
7106.94,6.88
7113.82,6.88
7117.06,3.24
7121.91,4.85
7123.53,1.62
7125.95,2.43
7131.62,5.66
7138.09,6.47
7145.78,7.69
7153.46,7.69
7160.74,7.28
7166.41,5.66
7176.92,10.52
7182.18,5.26
7191.08,8.90
7199.98,8.90
7211.09,11.11
7233.55,22.46
7241.24,7.69
7246.50,5.26
7250.54,4.05
7253.78,3.24
7259.04,5.26
7267.13,8.09
7278.86,11.73
7282.90,4.05
7286.95,4.05
7291.40,4.45
7300.30,8.90
7306.36,6.07
7310.81,4.45
7316.48,5.66
7322.55,6.07
7329.42,6.88
7335.49,6.07
7343.98,8.49
7354.50,10.52
7357.72,3.22
7362.54,4.82
7368.57,6.03
7373.39,4.82
7379.82,6.43
7387.46,7.64
7393.89,6.43
7401.13,7.24
7404.34,3.22
7409.17,4.82
7413.59,4.42
7418.41,4.82
7427.26,8.84
7431.27,4.02
7435.29,4.02
7439.72,4.42
7442.53,2.81
7545.02,102.49
7549.85,4.83
7553.47,3.62
7556.68,3.22
7561.91,5.23
7566.33,4.42
7570.75,4.42
7577.59,6.83
7590.85,13.26
7596.88,6.03
7602.91,6.03
7613.76,10.85
7621.00,7.24
7624.62,3.62
7629.04,4.42
7634.26,5.23
7640.69,6.43
7643.11,2.41
7648.73,5.63
7652.75,4.02
7659.18,6.43
7663.20,4.02
7668.03,4.82
7672.05,4.02
7678.48,6.43
7682.90,4.42
7688.93,6.03
7695.17,6.24
7705.82,10.65
7710.63,4.82
7718.27,7.64
7719.88,1.61
7723.09,3.22
7727.11,4.02
7732.34,5.23
7735.96,3.62
7741.99,6.03
7747.61,5.63
7759.67,12.06
7781.38,21.71
7785.00,3.62
7787.41,2.41
7792.63,5.23
7794.64,2.01
7797.46,2.81
7800.67,3.22
7803.08,2.41
7804.29,1.21
7806.30,2.01
7809.51,3.22
7811.93,2.41
7814.74,2.81
7817.96,3.22
7820.77,2.81
7823.98,3.22
7827.20,3.22
7832.02,4.82
7834.84,2.81
7838.46,3.62
7842.07,3.62
7845.69,3.62
7854.13,8.44
7858.96,4.82
7862.97,4.02
7869.81,6.83
7880.66,10.85
7884.28,3.62
7891.11,6.83
7898.35,7.24
7903.57,5.23
7907.99,4.42
7913.62,5.63
7928.90,15.27
7931.71,2.81
7933.72,2.01
7935.73,2.01
7939.75,4.02
7944.17,4.42
7948.59,4.42
7953.82,5.23
7957.84,4.02
7964.27,6.43
7999.64,35.37
8002.85,3.22
8005.67,2.81
8010.49,4.82
8015.72,5.23
8023.76,8.04
8028.98,5.23
8035.01,6.03
8039.83,4.82
8053.50,13.67
8062.54,9.04
8068.42,5.88
8074.30,5.88
8087.86,13.56
8094.19,6.33
8099.61,5.42
8105.49,5.88
8113.62,8.14
8121.76,8.14
8127.19,5.42
8131.71,4.52
8142.56,10.85
8148.43,5.88
8155.21,6.78
8161.54,6.33
8167.87,6.33
8172.39,4.52
8182.34,9.95
8186.86,4.52
8191.38,4.52
8195.90,4.52
8200.87,4.97
8204.94,4.07
8216.24,11.30
8224.83,8.59
8230.25,5.42
8234.77,4.52
8240.20,5.42
8245.17,4.97
8247.88,2.71
8255.57,7.68
8260.09,4.52
8264.61,4.00
8272.36,7.75
8276.88,4.52
8281.33,4.97
8285.86,4.52
8292.18,6.33
8303.49,11.30
8308.46,4.97
8311.17,2.71
8314.79,3.62
8317.95,3.16
8322.47,4.52
8326.09,3.62
8332.42,6.33
8336.48,4.07
8340.55,4.07
8349.59,9.04
8354.11,4.52
8359.54,5.42
8369.48,9.95
8381.24,11.75
8389.37,8.14
8396.16,6.78
8403.39,7.23
8410.17,6.78
8413.79,3.62
8420.57,6.78
8424.18,3.62
8428.70,4.52
8435.48,6.78
8442.26,6.78
8453.11,10.85
8456.28,3.16
8462.61,6.33
8464.87,2.26
8468.94,4.07
8471.65,2.71
8475.72,4.07
8482.50,6.78
8537.20,54.70
8540.36,3.16
8544.43,4.07
8547.59,3.16
8550.30,2.71
8554.83,4.52
8559.35,4.52
8563.87,4.52
8568.39,4.52
8576.52,8.14
8581.50,4.97
8589.63,8.14
8607.71,18.08
8613.14,5.42
8616.30,3.16
8622.18,5.88
8626.25,4.07
8630.32,4.07
8634.39,4.07
8637.10,2.71
8641.17,4.07
8643.88,2.71
8648.85,4.97
8654.73,5.88
8662.87,8.14
8666.48,3.62
8669.19,2.71
8674.17,4.97
8677.33,3.16
8682.76,5.42
8685.92,3.16
8689.08,3.16
8693.15,4.07
8698.12,4.97
8704.00,5.88
8713.04,9.04
8719.37,6.33
8724.34,4.97
8727.51,3.16
8732.03,4.52
8737.00,4.97
8739.71,2.71
8747.40,7.68
8751.92,4.52
8759.60,7.68
8768.19,8.59
8774.07,5.88
8777.69,3.62
8780.85,3.16
8784.92,4.07
8788.99,4.07
8800.74,11.75
8803.90,3.16
8819.73,15.82
8825.15,5.42
8829.67,4.52
8838.71,9.04
8841.88,3.16
8845.49,3.62
8850.47,4.97
8858.15,7.68
8863.58,5.42
8871.26,7.68
8877.59,6.33
8883.01,5.42
8886.18,3.16
8890.25,4.07
8897.93,7.68
8902.45,4.52
8912.40,9.95
8919.63,7.23
8947.66,28.03
8957.60,9.95
8963.93,6.33
8968.90,4.97
8973.42,4.52
8977.49,4.07
8980.20,2.71
8985.18,4.97
8989.70,4.52
8995.12,5.42
9001.90,6.78
9004.16,2.26
9010.94,6.78
9020.89,9.95
9026.77,5.88
9032.64,5.88
9035.81,3.16
9039.87,4.07
9046.66,6.78
9050.27,3.62
9055.70,5.42
9060.67,4.97
9062.93,2.26
9067.00,4.07
9070.16,3.16
9082.37,12.21
9086.89,4.52
9091.41,4.52
9101.81,10.40
9109.94,8.14
9118.08,8.14
9123.96,5.88
9127.57,3.62
9132.55,4.97
9138.87,6.33
9143.39,4.52
