depth,thickness
883.12,8.28
889.14,6.02
904.18,15.05
916.67,12.49
923.59,6.92
929.61,6.02
940.14,10.53
949.77,9.63
956.24,6.47
963.01,6.77
972.34,9.33
1015.52,43.18
1040.50,24.98
1060.96,20.46
1070.44,9.48
1082.02,11.59
1087.74,5.72
1093.01,5.27
1098.99,5.98
1107.68,8.69
1116.82,9.14
1123.48,6.66
1128.33,4.85
1139.39,11.06
1159.92,20.54
1167.82,7.90
1201.00,33.18
1203.83,2.83
1207.90,4.07
1213.11,5.20
1250.02,36.91
1275.22,25.20
1281.78,6.56
1294.59,12.81
1322.31,27.72
1327.62,5.32
1333.17,5.54
1341.20,8.03
1352.96,11.77
1359.07,6.11
1364.84,5.77
1370.39,5.54
1380.46,10.07
1387.47,7.01
1393.01,5.54
1398.10,5.09
1402.19,4.09
1416.56,14.37
1425.56,9.00
1460.11,34.55
1467.24,7.13
1480.46,13.22
1500.96,20.50
1511.30,10.34
1528.58,17.28
1538.08,9.50
1546.71,8.63
1551.62,4.91
1558.06,6.44
1568.05,10.00
1576.70,8.64
1591.94,15.25
1603.47,11.52
1615.16,11.69
1622.27,7.12
1640.74,18.47
1668.86,28.13
1680.39,11.52
1700.38,19.99
1714.95,14.57
1723.59,8.64
1732.57,8.98
1742.57,10.00
1766.29,23.72
1772.55,6.27
1789.16,16.60
1808.98,19.82
1872.98,64.00
1881.79,8.81
1884.56,2.77
1886.77,2.20
1890.50,3.73
1894.90,4.41
1897.61,2.71
1903.54,5.93
1915.74,12.20
1923.20,7.45
1925.91,2.71
1932.85,6.95
1944.88,12.03
1951.32,6.44
1961.83,10.50
1977.92,16.10
1986.22,8.30
1995.37,9.15
2001.13,5.76
2010.96,9.83
2034.96,24.00
2039.18,4.22
2046.64,7.45
2056.12,9.49
2062.73,6.61
2078.66,15.93
2095.09,16.43
2104.58,9.49
2113.05,8.47
2127.28,14.23
2140.67,13.38
2147.24,6.58
2156.45,9.21
2160.40,3.95
2177.93,17.53
2184.94,7.01
2194.59,9.64
2204.23,9.64
2210.37,6.14
2218.26,7.89
2223.96,5.70
2229.22,5.26
2237.98,8.77
2248.07,10.08
2665.38,417.32
2672.83,7.45
2678.53,5.70
2686.86,8.33
2699.57,12.71
2714.92,15.34
2724.56,9.64
2741.22,16.66
2765.33,24.11
2781.55,16.22
2796.89,15.34
2807.85,10.96
2817.05,9.21
2828.45,11.40
2835.03,6.58
2840.72,5.70
2847.74,7.01
2866.15,18.41
2874.48,8.33
2887.19,12.71
2892.45,5.26
2900.34,7.89
2910.42,10.08
2917.44,7.01
2925.33,7.89
2939.79,14.47
2953.82,14.03
2968.72,14.90
2984.07,15.34
2995.03,10.96
3003.35,8.33
3013.44,10.08
3018.70,5.26
3029.22,10.52
3045.44,16.22
3049.82,4.38
3052.89,3.07
3060.34,7.45
3069.11,8.77
3091.90,22.79
3116.89,24.99
3137.05,20.16
3141.44,4.38
3144.94,3.51
3151.52,6.58
3155.90,4.38
3160.72,4.82
3207.62,46.90
3212.88,5.26
3217.71,4.82
3222.53,4.82
3228.67,6.14
3238.66,9.99
3244.57,5.90
3256.83,12.26
3274.55,17.71
3282.27,7.72
3295.44,13.17
3307.70,12.26
3316.33,8.63
3325.87,9.54
3336.77,10.90
3346.76,9.99
3359.03,12.26
3364.93,5.90
3375.83,10.90
3393.55,17.71
3403.09,9.54
3412.17,9.08
3420.35,8.18
3435.34,14.99
3443.97,8.63
3453.50,9.54
3469.40,15.90
3481.21,11.81
3489.84,8.63
3497.56,7.72
3506.19,8.63
3517.55,11.36
3523.45,5.90
3532.54,9.08
3544.35,11.81
3561.15,16.81
3567.06,5.90
3574.33,7.27
3579.78,5.45
3589.31,9.54
3594.76,5.45
3601.12,6.36
3612.48,11.36
3629.28,16.81
3638.82,9.54
3645.18,6.36
3653.36,8.18
3661.08,7.72
3665.62,4.54
3671.98,6.36
3690.15,18.17
3694.24,4.09
3698.78,4.54
3717.86,19.08
3722.85,5.00
3736.93,14.08
3746.93,9.99
3762.82,15.90
3775.54,12.72
3784.63,9.08
3791.89,7.27
3799.61,7.72
3810.97,11.36
3819.15,8.18
3832.77,13.63
3848.67,15.90
3860.88,12.21
3869.93,9.05
3878.52,8.59
3886.21,7.69
3897.97,11.76
3909.74,11.76
3926.49,16.75
3939.59,13.10
3968.99,29.40
3985.73,16.74
3991.16,5.43
3997.49,6.33
4006.08,8.59
4019.20,13.12
4028.25,9.05
4035.49,7.24
4044.99,9.50
4059.91,14.93
4091.12,31.21
4096.10,4.98
4103.79,7.69
4144.57,40.78
4148.57,4.00
4155.81,7.24
4161.24,5.43
4167.12,5.88
4178.43,11.31
4183.40,4.98
4195.62,12.21
4198.78,3.17
4206.47,7.69
4210.09,3.62
4213.71,3.62
4219.59,5.88
4226.83,7.24
4234.97,8.14
4244.47,9.50
4249.44,4.98
4256.68,7.24
4269.80,13.12
4275.23,5.43
4284.27,9.05
4305.99,21.71
4315.94,9.95
4322.27,6.33
4335.39,13.12
4356.65,21.26
4364.34,7.69
4372.93,8.59
4377.00,4.07
4383.79,6.79
4397.29,13.50
4410.48,13.19
4415.91,5.43
4424.95,9.05
4432.64,7.69
4444.86,12.21
4453.00,8.14
4459.33,6.33
4470.19,10.86
4482.85,12.67
4490.99,8.14
4500.95,9.95
4508.64,7.69
4514.06,5.43
4519.49,5.43
4538.94,19.45
4547.54,8.59
4554.32,6.79
4561.11,6.79
4574.68,13.57
