"","location02_methodI_0_75"
"mu","1.42336204137618"
"sigma","0.419260382076157"
"nFit","1541"
"R2","0.991640943930003"
"limit.Left","0.649860488990806"
"limit.Right","16.5450838424396"
"method","Method I"
"distribution","lognormal"
"iRight.1","2029"
"iRight.2","2030"
"iRight.3","2031"
"iRight.4","2032"
"iRight.5","2033"
"iRight.6","2034"
"iRight.7","2035"
"iRight.8","2036"
"iRight.9","2037"
"iRight.10","2038"
"iRight.11","2039"
"iRight.12","2040"
"iRight.13","2041"
"iRight.14","2042"
"iRight.15","2043"
"iRight.16","2044"
"iRight.17","2045"
"iRight.18","2046"
"iRight.19","2047"
"iRight.20","2048"
"iRight.21","2049"
"iRight.22","2050"
"iRight.23","2051"
"iRight.24","2052"
"iRight.25","2053"
"iRight.26","2054"
"nOut.Left","0"
"nOut.Right","26"
"yMin","0.89"
"yMax","5.57"
"rho.Left","0.01"
"rho.Right","1"
"Fmin","0"
"Fmax","0.75"
