"","location03_methodI_0_75"
"mu","1.54264461096785"
"sigma","0.441048913841883"
"nFit","1680"
"R2","0.99289896232304"
"limit.Left","0.659493597551938"
"limit.Right","20.2443700078966"
"method","Method I"
"distribution","lognormal"
"iRight.1","2181"
"iRight.2","2182"
"iRight.3","2183"
"iRight.4","2184"
"iRight.5","2185"
"iRight.6","2186"
"iRight.7","2187"
"iRight.8","2188"
"iRight.9","2189"
"iRight.10","2190"
"iRight.11","2191"
"iRight.12","2192"
"iRight.13","2193"
"iRight.14","2194"
"iRight.15","2195"
"iRight.16","2196"
"iRight.17","2197"
"iRight.18","2198"
"iRight.19","2199"
"iRight.20","2200"
"iRight.21","2201"
"iRight.22","2202"
"iRight.23","2203"
"iRight.24","2204"
"iRight.25","2205"
"iRight.26","2206"
"iRight.27","2207"
"iRight.28","2208"
"iRight.29","2209"
"iRight.30","2210"
"iRight.31","2211"
"iRight.32","2212"
"iRight.33","2213"
"iRight.34","2214"
"iRight.35","2215"
"iRight.36","2216"
"iRight.37","2217"
"iRight.38","2218"
"iRight.39","2219"
"iRight.40","2220"
"iRight.41","2221"
"iRight.42","2222"
"iRight.43","2223"
"iRight.44","2224"
"iRight.45","2225"
"iRight.46","2226"
"iRight.47","2227"
"iRight.48","2228"
"iRight.49","2229"
"iRight.50","2230"
"iRight.51","2231"
"iRight.52","2232"
"iRight.53","2233"
"iRight.54","2234"
"iRight.55","2235"
"iRight.56","2236"
"iRight.57","2237"
"iRight.58","2238"
"iRight.59","2239"
"nOut.Left","0"
"nOut.Right","59"
"yMin","0.96"
"yMax","6.72"
"rho.Left","0.01"
"rho.Right","1"
"Fmin","0"
"Fmax","0.75"
