"","location21_methodI_0_75"
"mu","1.93360025113994"
"sigma","0.487251665493611"
"nFit","614"
"R2","0.99659088542451"
"limit.Left","0.884693982230205"
"limit.Right","30.2654220446954"
"method","Method I"
"distribution","lognormal"
"iRight.1","802"
"iRight.2","803"
"iRight.3","804"
"iRight.4","805"
"iRight.5","806"
"iRight.6","807"
"iRight.7","808"
"iRight.8","809"
"iRight.9","810"
"iRight.10","811"
"iRight.11","812"
"iRight.12","813"
"iRight.13","814"
"iRight.14","815"
"iRight.15","816"
"iRight.16","817"
"iRight.17","818"
"nOut.Left","0"
"nOut.Right","17"
"yMin","1.5"
"yMax","9.96"
"rho.Left","0.01"
"rho.Right","1"
"Fmin","0"
"Fmax","0.75"
