"","location04_methodI_0_75"
"mu","1.76333862821673"
"sigma","0.446640035637754"
"nFit","1617"
"R2","0.994652476104416"
"limit.Left","0.805135579437466"
"limit.Right","25.5943952406049"
"method","Method I"
"distribution","lognormal"
"iRight.1","2117"
"iRight.2","2118"
"iRight.3","2119"
"iRight.4","2120"
"iRight.5","2121"
"iRight.6","2122"
"iRight.7","2123"
"iRight.8","2124"
"iRight.9","2125"
"iRight.10","2126"
"iRight.11","2127"
"iRight.12","2128"
"iRight.13","2129"
"iRight.14","2130"
"iRight.15","2131"
"iRight.16","2132"
"iRight.17","2133"
"iRight.18","2134"
"iRight.19","2135"
"iRight.20","2136"
"iRight.21","2137"
"iRight.22","2138"
"iRight.23","2139"
"iRight.24","2140"
"iRight.25","2141"
"iRight.26","2142"
"iRight.27","2143"
"iRight.28","2144"
"iRight.29","2145"
"iRight.30","2146"
"iRight.31","2147"
"iRight.32","2148"
"iRight.33","2149"
"iRight.34","2150"
"iRight.35","2151"
"iRight.36","2152"
"iRight.37","2153"
"iRight.38","2154"
"iRight.39","2155"
"nOut.Left","0"
"nOut.Right","39"
"yMin","1.21"
"yMax","8.14"
"rho.Left","0.01"
"rho.Right","1"
"Fmin","0"
"Fmax","0.75"
