"","location20_methodI_0_75"
"mu","1.92160259818925"
"sigma","0.487206258667043"
"nFit","669"
"R2","0.997889751642862"
"limit.Left","0.866156674427363"
"limit.Right","30.2774618124012"
"method","Method I"
"distribution","lognormal"
"iRight.1","876"
"iRight.2","877"
"iRight.3","878"
"iRight.4","879"
"iRight.5","880"
"iRight.6","881"
"iRight.7","882"
"iRight.8","883"
"iRight.9","884"
"iRight.10","885"
"iRight.11","886"
"iRight.12","887"
"iRight.13","888"
"iRight.14","889"
"iRight.15","890"
"iRight.16","891"
"nOut.Left","0"
"nOut.Right","16"
"yMin","1.81"
"yMax","9.48"
"rho.Left","0.01"
"rho.Right","1"
"Fmin","0"
"Fmax","0.75"
