Turbidite,Dx (10)_Lc2,Dx (50)_Lc2,Dx (80)_Lc2,Dx (90)_Lc2,Dx (99)_Lc2,Mean_Lc2,Sorting_Lc2,Thickness_Lc2,RBD80_Lc2,MS1_Lc2,RABA_Lc2,nRABA_Lc2,MS1_Min_Lc2,RABA_Min_Lc2,nRABA_Min_Lc2,MS1_Max_Lc2,RABA_Max_Lc2,nRABA_Max_Lc2,Dx (10)_Lc3,Dx (50)_Lc3,Dx (80)_Lc3,Dx (90)_Lc3,Dx (99)_Lc3,Mean_Lc3,Sorting_Lc3,Thickness_Lc3,RBD80_Lc3,MS1_Lc3,RABA_Lc3,nRABA_Lc3,MS1_Min_Lc3,RABA_Min_Lc3,nRABA_Min_Lc3,MS1_Max_Lc3,RABA_Max_Lc3,nRABA_Max_Lc3,Dx (10)_Lc4,Dx (50)_Lc4,Dx (80)_Lc4,Dx (90)_Lc4,Dx (99)_Lc4,Mean_Lc4,Sorting_Lc4,Thickness_Lc4,RBD80_Lc4,MS1_Lc4,RABA_Lc4,nRABA_Lc4,MS1_Min_Lc4,RABA_Min_Lc4,nRABA_Min_Lc4,MS1_Max_Lc4,RABA_Max_Lc4,nRABA_Max_Lc4,Dx (10)_Lc20,Dx (50)_Lc20,Dx (80)_Lc20,Dx (90)_Lc20,Dx (99)_Lc20,Mean_Lc20,Sorting_Lc20,Thickness_Lc20,RBD80_Lc20,Dx (10)_Lc21,Dx (50)_Lc21,Dx (80)_Lc21,Dx (90)_Lc21,Dx (99)_Lc21,Mean_Lc21,Sorting_Lc21,Thickness_Lc21,RBD80_Lc21,"StdevThickness_Lc(2,3,4)","StdevD80_Lc(2,3,4)","StdevD10_Lc (2,3,4)","StdevSorting_Lc(2,3,4)","StdevThickness_Lc(2,3,4,20,21)","StdevD80_Lc(2,3,4,20,21)","StdevD10_Lc(2,3,4,20,21)","StdevSorting_Lc(2,3,4,20,21)"
E75,3.27,78,176,252,492,43.255,5.35,52.978,3.322,12.679,-0.738,-0.1,-0.544,-0.204,-0.079,39.976,-1.019,1.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E77,2.87,28,59,79.1,134,19.99,3.573,24,2.458,2.887,0.377,0.877,-0.623,0.329,0.197,2.763,0.513,1.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E78_1,3.86,18,38.2,53,95.2,16.258,2.733,20,1.91,-0.36,0.245,-0.071,-1.757,0.156,-0.13,0.401,0.514,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E78_2,2.32,21.7,62.4,90.4,166,17.309,4.173,16,3.9,23.554,-0.635,-0.353,8.22,0.122,0.104,38.337,-1.151,-0.901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E79,3.09,17.7,39.3,53.1,88.6,15.11,2.995,18.5,2.124,3.764,0.095,-0.117,6.08,0.62,0.263,-1.041,-0.258,-0.823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E80,4.24,18.2,35.5,47.8,85,16.349,2.535,18.5,1.919,-5.888,0.208,-0.104,-4.056,0.826,0.099,-12.407,0.047,-0.647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E81,4.99,26.7,51.4,68.1,115,22.9,2.718,30,1.713,-5.281,0.255,0.199,-2.108,0.113,0.097,-8.548,1.051,0.473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E82,15.7,219,371,471,738,174.874,3.281,160.5,2.312,4.118,1.42,1.253,-3.208,0.128,-0.01,7.18,2.89,2.989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E83,3.56,17.1,39.9,57.6,137,15.553,2.932,18,2.217,-5.374,-0.308,0.03,-2.331,-0.077,-0.058,-10.151,-0.193,1.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E84,5.14,25.3,47.9,62.6,98.7,21.916,2.605,125,0.383,-2.679,0.956,0.442,-7.371,-0.114,-0.2,-0.258,2.068,1.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E85,4.27,22.5,42.8,56.7,95.2,19.359,2.675,29,1.476,-6.473,0.627,0.402,-4.499,-0.252,-0.22,-10.606,0.705,0.377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E86,2.08,46.9,137,205,414,27.496,6.075,19,7.211,3.648,-0.95,-0.187,3.48,-0.29,0.154,2.338,-1,-0.677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E87,3.34,23.6,52,70.6,121,18.779,3.236,30.5,1.705,-4.361,0.895,0.955,-2.639,1.351,0.361,-8.982,0.78,1.824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E88,4.65,67.1,123,159,262,44.481,3.701,22,5.591,2.534,-1.252,-0.297,-0.801,-0.371,-0.065,4.58,-1.559,-0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E90,10.6,38.3,64.3,81.2,123,35.401,2.255,16.5,3.897,-4.071,-0.174,0.097,1.121,-0.343,0.036,-9.631,0.24,0.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E91,4.41,25.2,50.9,67.9,111,21.166,2.851,17,2.994,-5.616,-0.243,0.087,-0.909,-0.131,0.115,-11.712,-0.006,0.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E94,6.73,98.9,179,230,360,68.751,3.606,111,1.613,17.872,-0.736,-0.294,-1.073,-0.366,-0.106,38.845,-0.192,-0.683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
