Turbidite,Dx (10)_Lc2,Dx (50)_Lc2,Dx (80)_Lc2,Dx (90)_Lc2,Dx (99)_Lc2,Mean_Lc2,Sorting_Lc2,Thickness_Lc2,RBD80_Lc2,MS1_Lc2,RABA_Lc2,nRABA_Lc2,MS1_Min_Lc2,RABA_Min_Lc2,nRABA_Min_Lc2,MS1_Max_Lc2,RABA_Max_Lc2,nRABA_Max_Lc2,Dx (10)_Lc3,Dx (50)_Lc3,Dx (80)_Lc3,Dx (90)_Lc3,Dx (99)_Lc3,Mean_Lc3,Sorting_Lc3,Thickness_Lc3,RBD80_Lc3,MS1_Lc3,RABA_Lc3,nRABA_Lc3,MS1_Min_Lc3,RABA_Min_Lc3,nRABA_Min_Lc3,MS1_Max_Lc3,RABA_Max_Lc3,nRABA_Max_Lc3,Dx (10)_Lc4,Dx (50)_Lc4,Dx (80)_Lc4,Dx (90)_Lc4,Dx (99)_Lc4,Mean_Lc4,Sorting_Lc4,Thickness_Lc4,RBD80_Lc4,MS1_Lc4,RABA_Lc4,nRABA_Lc4,MS1_Min_Lc4,RABA_Min_Lc4,nRABA_Min_Lc4,MS1_Max_Lc4,RABA_Max_Lc4,nRABA_Max_Lc4,Dx (10)_Lc20,Dx (50)_Lc20,Dx (80)_Lc20,Dx (90)_Lc20,Dx (99)_Lc20,Mean_Lc20,Sorting_Lc20,Thickness_Lc20,RBD80_Lc20,Dx (10)_Lc21,Dx (50)_Lc21,Dx (80)_Lc21,Dx (90)_Lc21,Dx (99)_Lc21,Mean_Lc21,Sorting_Lc21,Thickness_Lc21,RBD80_Lc21,"StdevThickness_Lc(2,3,4)","StdevD80_Lc(2,3,4)","StdevD10_Lc (2,3,4)","StdevSorting_Lc(2,3,4)","StdevThickness_Lc(2,3,4,20,21)","StdevD80_Lc(2,3,4,20,21)","StdevD10_Lc(2,3,4,20,21)","StdevSorting_Lc(2,3,4,20,21)"
E11,3.49,36.7,78.9,107,184,25.819,3.743,25.107,3.143,0.142,-0.061,-0.057,-2.56,0.026,0.026,6.442,-0.161,-0.108,5.47,75.4,136,175,287,50.81,3.625,71.01,1.915,0.656,-0.245,-0.148,-0.295,-0.304,0.019,3.593,-0.527,0.014,30.7,71.2,109,134,196,68.867,1.924,87.861,1.241,0.567,-0.2,0.195,-2.691,-0.7,0.101,2.825,-0.088,0.686,39.1,122,192,235,347,115.304,2.196,80.98,2.371,23.1,153,245,304,451,139.129,2.573,70,3.5,52.96,26.456,114.754,32.847,36.646,43.709,76.516,29.489
E12,2.79,7.81,15.4,21.8,45.3,7.801,2.209,12,1.283,-0.885,0.555,-0.01,-2.612,0.643,-0.043,-1.697,0.623,-0.03,10.6,51.6,88.5,112,179,45.941,2.479,52,1.702,-0.452,0.173,-0.05,-2.46,-0.232,-0.076,-0.481,0.5,1.047,3.73,16.1,34.3,47.9,91.3,14.83,2.67,31,1.106,-0.016,0.22,-0.133,-0.824,0.123,-0.261,1.816,0.284,-0.032,5.25,19.5,36,47.8,83.3,18.111,2.381,20,1.8,3.02,16.6,32.5,44.2,84,14.123,2.775,17,1.912,63.184,82.367,74.715,9.458,60.286,66.831,63.667,9.021
E13_2,2.12,5.47,11.5,19.4,61.9,5.772,2.362,12.6,0.913,0.496,-0.01,0.453,1.267,-0.065,0.116,-1.025,0.142,0.909,3.59,12.5,23.9,34,93.7,11.927,2.407,27,0.885,-0.065,0.729,-0.338,-1.83,1.058,0.134,-0.671,0.522,-0.657,8.72,28.9,48.6,61.3,93.9,26.954,2.204,37,1.314,3.15,0.553,0.021,-1.135,-0.091,0.139,4.79,0.734,-0.232,12.8,30.5,46.9,57.1,81,29.337,1.925,44.7,1.049,11.8,65.8,114,147,243,58.201,2.587,43.5,2.621,48.039,67.453,72.038,4.591,40.572,80.805,61.382,10.839
E15,3.4,13.4,30.2,42.6,79.3,12.732,2.647,11,2.745,-1.137,0.174,0.163,-0.975,-0.116,0.097,-1.678,0.359,0.403,6.3,63.5,112,144,232,48.524,3.104,71.5,1.566,-0.207,0.191,0.057,-0.447,-0.24,-0.09,4.93,1.04,1.003,3.65,15.4,31.6,43.8,82.9,14.129,2.602,32,0.988,-2.714,0.093,-0.188,-2.629,-0.041,-0.183,-1.261,0.595,0.24,4.85,34.2,68.3,88.9,139,27.015,3.065,30,2.277,4.54,23.6,49,65.6,107,20.52,2.8,28.21,1.737,80.483,80.831,36.113,9.962,64.529,58.074,25.274,8.161
E16,4.95,46.7,78.4,98.1,151,34.459,3.012,28,2.8,0.083,-0.426,0.141,0.009,-1.146,0.03,-0.721,-0.465,0.739,4.57,68.8,121,155,247,45.044,3.714,29.5,4.102,3.863,-1.149,-0.422,2.513,-0.445,0.066,8.9,-1.573,-0.786,4.75,23.3,41.9,55.3,97.7,20.931,2.568,41.192,1.017,-1.621,-0.223,-0.287,-1.652,-0.077,-0.055,-1.264,-0.435,-0.206,10.8,40.5,66.9,84.2,127,37.662,2.343,45,1.487,20.1,60.7,92.9,112,156,57.085,2.17,40.78,2.278,21.954,49.22,3.996,18.648,20.689,36.731,74.365,22.413
E17_1,2.26,8.05,20,29.7,62.9,8.108,2.705,11.5,1.739,-0.512,0.158,0.174,-1.062,-0.042,-0.005,-1.912,0.13,0.398,2.2,6.84,15.2,22.3,48.3,6.898,2.449,11.33,1.342,-1.046,-1.055,-0.45,0.355,-0.457,0.04,-4.223,-1.532,-1.146,2.62,11.1,23.4,31.9,57.2,10.138,2.614,17.74,1.319,-1.176,-0.494,-0.137,-0.763,-0.253,0.037,-3.277,-0.792,-0.49,3.35,14.8,30,40.5,72.2,13.292,2.607,18.23,1.646,3.17,16,32.5,43.3,73.2,13.8,2.725,14,2.321,27.011,21.091,9.625,4.998,22.699,29.327,19.204,4.16
E17_2,2.44,6.47,12.2,16.5,30.4,6.404,2.09,10.78,1.132,2.053,0.104,0.112,1.919,-0.034,-0.036,1.035,-0.101,0.165,2.91,9.43,18,24,41.6,8.965,2.25,9,2,0.849,-1.048,-0.405,4.314,-1.033,-0.107,-4.257,-1.233,-0.986,3.68,15.5,30.7,41.1,72.5,14.004,2.529,23.67,1.297,-0.947,-0.638,-0.259,0.211,-0.302,-0.104,-0.281,-0.508,-0.29,3.05,12.9,28.4,39.3,72.5,11.898,2.677,13.78,2.061,2.97,12.8,30.7,43.7,81.4,12.092,2.816,11.5,2.67,55.274,46.611,20.798,9.687,42.24,35.132,14.736,12.103
E18,3.04,10.4,22.6,32.2,66.4,10.162,2.482,6.5,3.477,-0.565,-0.132,0.132,0.909,-0.831,0.097,-1.992,-0.12,0.027,3.95,19.8,42.2,58.4,108,17.583,2.82,40,1.055,7.676,2.031,1.206,2.287,1.761,0.55,8.72,2.401,0.973,2.83,7.5,14.7,21,51.5,7.578,2.174,9.5,1.547,-0.115,0.535,0.012,3.195,0.378,0.295,-5.283,0.404,-0.427,5.92,22.1,41.3,56.7,161,20.814,2.443,9,4.589,3.28,10.3,19.7,26.8,52.6,9.947,2.252,7.55,2.609,99.3,53.429,18.188,12.973,98.543,45.484,33.006,10.319
E19,2.53,7.47,15,21,42.8,7.379,2.26,7.5,2,1.366,-0.105,-0.284,3.869,-0.219,-0.169,-2.099,-0.3,-0.407,5.22,22.6,42,55.6,95.8,20.266,2.483,15.34,2.738,-1.031,-0.218,0.037,-1.796,-0.529,-0.03,-3.351,0.391,0.273,2.428,7.705,16.125,22.875,50.175,7.603,2.382,10.34,1.559,-1.499,-0.529,-0.308,-0.869,-0.033,0.076,-4.292,-0.86,-0.82,1.49,5.02,12.9,21,50.4,5.326,2.824,11.39,1.133,2.16,6.38,15.5,25.3,57.5,6.824,2.576,12.45,1.245,35.889,62.663,46.676,4.701,25.171,60.026,51.734,8.527
E20,3.87,20.4,38.4,50.6,85.9,17.333,2.662,32,1.2,1.986,0.407,0.362,-0.179,-0.766,-0.029,3.771,1.486,0.942,4.05,21.2,44.6,61.7,114,18.468,2.845,64,0.697,2.019,1.15,0.976,-1.88,-0.048,-0.044,0.575,1.231,1.176,3.52,15.4,31.7,44.2,89.9,14.014,2.649,39,0.813,-2.124,0.431,0.397,-2.936,-0.144,-0.154,-2.301,1.578,1.449,5.44,20.4,36.4,47.7,80.9,18.777,2.341,34.78,1.047,4.13,18.8,35.2,46.7,81.4,16.732,2.535,26.71,1.318,37.384,16.874,7.067,4.04,36.928,12.806,17.392,7.121
E22,1.82,4.79,9.89,17.2,73.3,5.001,2.447,9.065,1.091,-0.07,-0.314,-0.051,0.764,-0.468,0.106,-2.383,-0.74,-0.277,3.54,15.9,35.4,54.1,120,15.043,2.854,13.67,2.59,1.431,-1.512,-0.461,2.03,-1.208,-0.034,-0.509,-1.885,-1.013,11.4,42.3,70.3,88.1,134,38.873,2.276,26.138,2.69,-1.263,-0.491,-0.333,-1.027,-0.216,0.035,-0.314,-0.928,-0.572,11.2,56.2,99.8,127,199,49.474,2.652,23,4.339,25.2,70.9,112,139,205,67.339,2.086,25.69,4.36,54.219,78.709,91.422,11.751,39.49,65.512,86.854,12.283
E23,2.25,5.56,10.6,15.2,37.7,5.656,2.098,9,1.178,1.247,0.585,-0.109,1.661,0.276,0.018,-0.662,0.777,-0.036,5.55,31.4,62.2,83.8,147,27.054,2.823,25.58,2.432,-2.753,0.12,0.405,-0.097,0.095,0.058,-6.632,0.726,0.593,4.33,23.2,49.7,69.5,126,20.471,2.904,21,2.367,0.231,-0.105,0.084,0.846,-0.127,-0.155,1.666,0.002,0.425,5.95,23.6,42.6,55.5,92.2,21.506,2.399,15,2.84,4.82,19.5,35.8,46.8,76.9,17.673,2.411,19,1.884,46.105,65.923,41.267,17.015,34.911,47.801,31.578,13.177
E24,2.21,5.93,11.9,18,62.8,6.036,2.271,5.5,2.164,0.282,-0.445,-0.145,2.539,-0.679,-0.002,-2.991,-0.666,-0.424,2.71,13.6,28.6,40.4,82.2,12.206,2.812,8,3.575,-0.918,-0.114,-0.153,0.766,-0.162,0.102,-4.774,0.001,-0.437,2.82,14.9,29.6,40.1,76,12.915,2.748,15,1.973,9.039,-0.186,0.51,3.71,-0.517,0.015,18.643,-0.008,1.108,3.22,17.6,35.4,49.2,93.8,15.398,2.809,24.13,1.467,4.11,20.1,38,51.1,93.3,18.02,2.614,32.57,1.167,51.836,42.552,12.601,11.325,66.298,35.467,23.578,8.565
E25,3.19,30.7,74,98.9,159,22.724,3.785,29,2.552,0.444,-0.417,-0.248,-2.539,-0.665,-0.174,2.797,-0.696,-0.137,3.13,26.5,74.6,108,227,22.065,3.942,25.5,2.925,0.929,-0.135,-0.26,-0.312,0.342,-0.062,3.142,-0.437,-0.532,8.89,29.8,50.8,65.6,125,28.016,2.256,47,1.081,1.511,0.278,0.225,-1.366,-0.008,0.016,3.629,0.453,0.631,3.64,25.2,50.9,68.8,121,20.663,3.056,44,1.157,27.8,77.4,127,160,249,73.602,2.037,46,2.761,34.097,20.418,65.254,28.002,26.684,41.223,113.664,28.668
E26,2.44,6.31,11.7,16.3,44.3,6.28,2.093,14.826,0.789,-1.142,0.682,-0.049,-0.758,0.414,-0.025,-2.794,0.606,0.146,3.11,11.2,22.8,32.1,65,10.673,2.459,24,0.95,-0.938,0.257,-0.323,-1.543,0.178,-0.088,-2.127,0.405,-1.029,4.47,19.5,34.9,45,71.8,17.263,2.426,41.96,0.832,3.68,-0.263,0.228,1.439,-0.235,-0.054,6.591,-0.179,0.974,2.12,9.92,22.9,32.4,64.9,9.144,2.907,41.63,0.55,3.81,18.1,34.5,45.1,74.1,15.703,2.579,40,0.863,51.254,50.16,30.969,8.69,38.132,38.116,30.298,11.771
E27,2.71,9.88,21.7,30.9,62.4,9.565,2.552,14,1.55,-0.936,0.544,-0.053,0.038,-0.163,0.045,-3.345,0.971,-0.289,5.52,27.4,50.9,66.7,111,23.874,2.589,61,0.834,2.251,0.709,0.696,-0.747,-0.272,-0.234,1.61,1.504,1.134,2.95,17.8,34.8,46.4,78.9,14.822,2.841,29,1.2,-1.679,0.142,-0.037,-2.742,-0.047,-0.12,-1.448,0.986,0.703,10.2,32,54.2,69.1,110,30.071,2.166,25,2.168,5.53,21.4,38,49.3,81.5,19.524,2.348,27,1.407,69.251,40.854,41.799,5.91,56.541,32.813,55.98,10.24
E28,1.88,4.93,9.63,14.7,55,5.01,2.277,5.391,1.786,,,,,,,,,,2.8,8.92,17.1,23.7,66.7,8.596,2.29,10.05,1.701,-1.829,-1.134,-0.678,0.22,-0.532,-0.069,-5.435,-1.552,-1.352,2.55,8.68,20.3,30.8,66.9,8.814,2.613,24.92,0.815,1.201,-0.127,-0.089,2.232,0.334,0.06,-0.454,-0.481,-0.129,17,49,79.9,101,174,46.869,2.125,26.31,3.037,11.4,35.3,60.2,81.7,208,34.174,2.3,32.8,1.835,75.812,34.928,19.739,7.961,58.416,82.374,94.902,7.684
E29,2.49,6.89,15.9,25.3,61.6,7.334,2.439,13,1.223,-0.78,0.397,-0.189,-0.063,0.313,-0.1,-3.617,0.006,-0.546,4.02,22.3,44.4,59.5,103,18.862,2.803,28,1.586,-2.475,0.096,-0.405,0.143,0.588,0.044,-6.543,-0.035,-0.416,3.99,16.1,29.5,38.7,65.7,14.522,2.395,23.7,1.245,-0.79,-0.28,-0.141,0.17,-0.23,-0.036,-3.469,-0.348,-0.042,3.98,17.3,32.2,42.2,71.2,15.39,2.474,25,1.288,3.92,16.9,31.4,40.9,66.7,14.976,2.46,19.5,1.61,35.815,47.622,24.995,8.806,26.601,33.036,18.104,6.536
E30,2.2,5.83,11.4,16.4,48.7,5.873,2.188,10.256,1.112,-0.797,-0.148,-0.125,0.928,-0.432,-0.114,-3.642,-0.257,-0.261,4.81,23.4,47.1,63.2,107,20.6,2.704,20,2.355,-1.293,-0.072,-0.1,0.127,0.591,0.208,-5.566,-0.582,-0.209,4.09,15.2,28.3,37.3,63,13.998,2.352,24.83,1.14,0.16,-0.391,-0.049,0.159,-0.21,-0.212,-1.471,-0.583,-0.139,4.35,17.4,31.6,41.3,69.1,15.709,2.386,26,1.215,4.53,17.7,32,41.6,67.2,15.975,2.361,22.51,1.422,40.429,61.723,36.432,10.915,30.332,42.307,25.969,7.835
E31,2.24,6.58,15.9,25,56.3,6.978,2.534,6,2.65,-1.082,-0.072,-0.207,1.908,-0.058,-0.041,-4.696,-0.486,-0.409,4.68,24.5,48.4,64.6,109,21.073,2.733,18.5,2.616,0.56,-0.137,0.25,1.101,-0.166,0.096,-0.602,-0.081,0.35,2.7,9.81,20.2,28,55.8,9.298,2.456,10,2.02,-0.135,0.058,-0.019,1.142,-0.12,0.049,-1.476,0.152,0.011,3.13,11.9,28.2,40.7,82.6,11.65,2.696,13,2.169,5.04,23,44.7,60.8,118,20.866,2.614,10.5,4.257,55.509,62.677,40.432,5.53,39.669,46.083,34.741,4.361
E32_1,2.01,5.05,10.1,15.3,40.8,5.22,2.201,4.546,2.222,,,,,,,,,,4.73,21.4,43,58.7,107,19.296,2.644,21.656,1.986,-2.549,0.278,0.264,0.065,-0.163,0.092,-5.655,0.231,0.202,3.9,15.6,30,39.9,69,14.25,2.453,14.99,2.001,-0.461,0.015,-0.09,1.116,0.241,-0.01,-2.482,-0.249,-0.269,3.89,19,42.5,63.2,141,17.417,2.921,20,2.125,3.76,16.6,36,51.1,96,15.298,2.727,17.59,2.047,62.812,59.82,39.304,9.126,42.863,41.808,27.296,10.602
E32_2,,,,,,,,,,,,,,,,,,,2.65,12,32.7,46,84.4,11.522,3.022,13.33,2.453,-2.006,-0.36,-0.266,1.02,-0.17,0.135,-5.723,-0.34,-0.803,2.28,5.6,10.4,14.3,28.2,5.632,2.031,9,1.156,-3.294,-0.074,-0.433,-0.917,0.293,-0.083,-6.49,-0.354,-1.083,2.19,5.99,11.7,16.1,29.6,5.962,2.165,9.74,1.201,2.23,6.24,12.3,16.8,30.4,6.188,2.181,9.5,1.295,27.423,73.172,10.614,27.735,19.076,63.465,9.051,19.283
E33,2.51,6.95,14.8,21.8,48.2,7.127,2.302,11.91,1.243,-2.432,0.296,-0.237,-1.149,0.048,0.06,-5.849,-0.053,-0.566,5.78,26.6,50.5,67,115,23.673,2.57,35,1.443,,,,,,,,,,3.5,12.2,24.4,34.1,72.2,11.621,2.41,16.46,1.482,-4.823,-0.086,-0.408,-2.921,-0.022,-0.204,-6.491,0.069,-0.649,3.43,14.2,34.1,51.5,110,13.817,2.839,17,2.006,3.34,13.1,31.1,47.5,107,12.849,2.78,15.5,2.006,57.903,61.788,42.669,5.572,47.286,42.575,32.951,8.958
E34,2.8,22.5,71.3,102,184,19.235,4.048,56.879,1.254,-0.722,-0.281,-0.281,-0.232,-1.179,-0.085,2.926,-0.352,-0.452,3.28,39.1,107,150,315,28.446,4.422,87,1.23,0.331,-0.427,-0.394,-2.077,0.078,-0.163,7.129,-0.803,-0.538,4.15,36,78.5,105,172,27.043,3.47,101,0.777,0.966,-0.418,0.036,-1.984,-0.174,-0.144,3.493,-0.267,0.137,15.7,56.7,90.5,111,162,52.637,2.194,89,1.017,12.2,83,137,170,248,68.104,2.685,83.81,1.635,27.621,22.055,20.068,12.051,19.464,27.045,77.681,27.524
E35,2.95,10,23.7,35.6,79.4,10.148,2.614,15,1.58,,,,,,,,,,4.77,23.3,47.3,64.7,117,20.568,2.722,29.97,1.578,3.497,0.859,0.584,-1.143,-0.058,0.044,8.024,1.52,0.66,3.03,10.1,19.3,26,45.9,9.567,2.287,10.65,1.812,-1.613,-0.18,-0.223,0.969,-0.144,0.009,-5.52,0.167,-0.616,4.27,18.2,39.2,57.1,117,17.162,2.728,11.4,3.439,3.32,11.2,23.9,35.6,96.9,11.064,2.51,8.02,2.98,54.665,50.024,28.701,8.923,56.174,39.012,22.066,7.108
E36,1.88,4.51,8.18,11.4,37.4,4.534,2.034,5,1.636,,,,,,,,,,3.04,13.2,28.1,45.9,182,12.458,2.883,22.967,1.224,1.221,-0.276,-0.594,1.775,0.363,-0.06,1.888,-0.755,-1.121,4.65,21.3,39.2,51.4,86.3,18.911,2.528,35.372,1.108,0.519,-0.085,-0.403,-0.092,0.177,-0.125,0.463,-0.472,-0.917,16.5,50.9,79.4,96.5,137,47.641,2.082,40.85,1.944,,,,,,,,,,72.328,62.471,43.607,17.186,61.048,77.487,103.586,16.854
E37,2.04,5.92,13.6,21.4,51.4,6.212,2.489,5,2.72,,,,,,,,,,4.77,22.4,44.7,60.7,107,19.936,2.653,19.47,2.296,1.761,0.03,0.247,1.688,-0.309,-0.162,0.738,0.229,0.426,2.99,12.1,25.1,34.7,63.7,11.212,2.567,7,3.586,-1.45,0.249,-0.107,1.848,0.608,0.168,-5.554,-0.082,-0.218,,,,,,,,,,,,,,,,,,,74.747,56.564,42.425,3.194,,,,
E38,1.64,4.41,8.87,14.4,60.7,4.53,2.414,9,0.986,,,,,,,,,,5.64,32.1,55.4,70.6,114,27.26,2.588,35.55,1.558,-1.477,0.155,-0.11,-0.377,0.527,0.014,-1.377,0.019,-0.151,17.1,47.6,80.9,105,182,46.081,2.173,54.698,1.479,2.753,0.006,-0.392,-0.201,-0.222,-0.174,3.431,0.03,-0.87,,,,,,,,,,,,,,,,,,,69.132,75.477,98.741,8.732,,,,
E39,1.88,5.88,12.6,17.8,33.8,5.84,2.402,16,0.788,-1.584,0.706,-0.222,-0.738,0.509,-0.225,-3.442,0.497,-0.45,2.54,8.99,20.2,29.1,60.5,8.834,2.566,13.34,1.514,-1.444,-0.309,-0.401,0.529,-0.097,-0.077,-3.55,-0.526,-1.148,4.61,19.3,35.1,45.6,75.4,17.319,2.424,24,1.463,-0.109,-0.083,-0.082,0.716,0.023,0.104,-2.594,0.213,-0.012,,,,,,,,,,,,,,,,,,,31.206,50.57,47.322,3.623,,,,
E40,1.7,7.21,27.8,51.3,124,8.398,3.797,11.91,2.334,-2.405,0.318,-0.382,-0.825,0.314,-0.23,-5.678,-0.121,-0.8,4.33,21.8,44.8,62.9,124,19.363,2.802,19.05,2.352,-0.818,-0.171,-0.302,0.478,0.309,0.111,-3.646,-0.579,-0.765,16.5,55.5,88.4,109,162,52.396,2.236,55.34,1.597,1.702,0.087,0.996,-5.329,0.074,0.342,2.391,0.132,3.439,,,,,,,,,,,,,,,,,,,87.782,58.244,105.138,26.836,,,,
E41,2.21,23.7,69.2,98.4,196,18.199,4.433,41,1.688,-0.074,-0.329,-0.358,-0.89,-0.664,-0.226,2.148,-0.533,-0.507,4.31,66.5,129,171,295,42.2,4.043,33,3.909,-0.216,-0.518,-0.359,-0.555,-0.297,0.046,1.289,-0.839,-0.772,4.57,42.9,90.2,135,277,34.44,3.505,61,1.479,-0.033,-0.715,-0.177,-0.366,-0.26,-0.113,0.38,-1.08,-0.297,,,,,,,,,,,,,,,,,,,32.049,31.559,35.006,11.663,,,,
E42,3.65,29.4,66.6,90.5,154,23.018,3.432,37.114,1.794,13.342,0.388,0.025,1.038,-0.363,-0.052,45.953,1.587,0.517,6.59,57.7,103,132,205,44.177,3.035,61,1.689,1.471,0.55,0.26,-2.595,-0.063,-0.271,5.21,0.914,0.708,3.4,18.7,39.3,53.1,91.5,15.906,2.872,55.5,0.708,-1.388,0.648,0.318,-2.402,-0.002,-0.159,-0.633,1.332,1.178,,,,,,,,,,,,,,,,,,,24.43,45.895,39.017,9.243,,,,
E43,2.61,8.12,18.9,28.4,62.9,8.351,2.506,12.83,1.473,-0.889,0.746,0.443,3.027,0.807,0.657,-6.078,0.512,0.057,5.23,28.4,56.7,76.1,133,24.409,2.79,30,1.89,-0.411,0.25,-0.013,0.392,-0.212,-0.102,-2.817,0.117,-0.482,3.828,12.867,25.22,34.7,69.533,12.296,2.346,14,1.801,-2.472,0.097,0.214,0.592,0.064,0.075,-6.635,-0.003,0.321,,,,,,,,,,,,,,,,,,,81.968,60.249,33.708,8.835,,,,
E44,1.45,4.06,7.77,11.1,28.7,4.061,2.262,3,2.59,,,,,,,,,,3.76,14.2,25.8,33.7,57.2,13.014,2.327,6.84,3.772,-2.725,-0.759,-0.633,0.385,-0.324,-0.2,-6.831,-1.065,-1.087,13,56,91.5,114,174,51.086,2.337,42.67,2.144,2.245,-0.787,0.412,3.583,-0.543,0.127,-0.638,-1.158,0.439,,,,,,,,,,,,,,,,,,,125.001,105.706,100.687,1.757,,,,
E45,1.87,5.2,11.5,18.3,50.4,5.448,2.434,11,1.045,-2.232,0.583,-0.336,-2.087,0.487,-0.131,-4.384,0.434,-0.559,5.56,46.1,79.6,99.8,148,35.349,2.905,34,2.341,1.432,-0.04,0.591,0.303,-0.145,-0.119,6.003,0.341,2.121,4.15,15.2,28.5,37.9,66.4,14.041,2.346,15.1,1.887,-3.725,0.241,-0.139,-1.494,0.045,0.076,-5.665,0.396,0.136,,,,,,,,,,,,,,,,,,,61.238,88.907,48.239,11.73,,,,
E46,2.46,13.2,43.3,64.4,122,13.133,3.559,24.74,1.75,-0.389,0.224,-0.272,-0.162,-0.396,-0.164,1.411,0.222,-0.369,4.73,39.7,89.2,119,192,30.781,3.472,32.019,2.786,3.366,-0.554,-0.408,1.252,-0.154,-0.208,10.893,-0.891,-0.852,8.29,35,62.5,86.2,214,33.27,2.526,57.52,1.087,3.402,-0.25,-0.05,0.47,0.114,-0.006,4.322,-0.51,-0.211,,,,,,,,,,,,,,,,,,,42.782,35.464,56.951,17.976,,,,
E47,2.42,6.69,13.4,19.5,48.6,6.742,2.245,19.24,0.696,-1.127,0.572,-0.091,1.821,-0.002,-0.071,-5.635,0.543,-0.163,9.74,48.8,85.6,110,179,43.185,2.521,41.208,2.077,-0.472,0.332,0.063,1.239,0.279,-0.053,-3.134,0.183,0.338,3.52,15.4,32.4,45.9,94.8,14.109,2.689,33,0.982,1.777,0.011,0.106,1.46,-0.078,-0.355,2.319,-0.111,0.671,,,,,,,,,,,,,,,,,,,37.208,85.447,75.52,9.036,,,,
E48,2.81,9.23,20.9,31.2,70.8,9.3,2.529,11,1.9,-2.643,0.79,-0.207,-0.287,0.698,-0.082,-5.927,0.354,-0.072,3.63,18.4,42.4,60.1,110,16.461,2.945,25,1.696,0.706,-0.022,-0.175,0.17,0.081,-0.189,-0.285,-0.187,-0.325,2.66,8.1,16.4,22.7,43.8,7.951,2.285,14.25,1.151,-0.295,0.539,-0.317,1.402,0.483,0.205,-2.703,0.183,-0.887,,,,,,,,,,,,,,,,,,,43.744,52.304,17.214,12.911,,,,
E49_1,2.82,34.1,86,117,200,23.893,4.253,34,2.529,-0.171,-0.269,-0.271,-1.416,-0.747,-0.093,4.725,-0.25,-0.272,7.03,89.1,158,208,404,63.914,3.44,93.5,1.69,9.169,-0.518,-0.071,2.083,-0.453,-0.099,20.518,-0.099,0.217,5.16,30.9,62.8,90.8,219,26.9,2.981,91,0.69,0.087,-0.539,-0.139,-2.659,-0.193,-0.215,3.274,-0.638,0.054,,,,,,,,,,,,,,,,,,,46.207,48.541,42.159,18.105,,,,
E49_2,2.18,6.28,12.9,18.6,44.8,6.309,2.292,9.58,1.347,,,,,,,,,,2.41,8.03,17.6,25.4,57.8,7.921,2.487,13.5,1.304,3.652,-0.582,-0.43,6.052,-0.314,-0.142,0.446,-0.542,-1.078,2.25,8.94,21.3,30.2,56.2,8.563,2.729,15,1.42,2.079,-0.412,-0.28,4.32,-0.203,-0.104,0.266,-0.262,-0.55,,,,,,,,,,,,,,,,,,,22.048,24.382,5.171,8.736,,,,
E50,1.65,4.37,9,14.7,79.7,4.549,2.407,6.854,1.313,,,,,,,,,,6.34,32.1,64.1,87.2,166,28.315,2.735,22.2,2.887,1.528,-0.023,0.152,3.042,-0.263,-0.073,0.422,0.09,0.086,3.09,10,20.2,28,59.8,9.716,2.341,11.95,1.69,-0.879,-0.772,-0.253,2.315,-0.662,0.025,-3.736,-0.617,-0.457,,,,,,,,,,,,,,,,,,,57.184,93.641,65.05,8.477,,,,
E51,3.44,15.8,33,45.7,88.6,14.254,2.707,10.9,3.028,-0.009,-0.083,-0.009,1.473,-0.567,-0.039,-1.573,-0.047,0.293,6.36,53.6,102,137,250,41.999,3.157,32.5,3.138,3.369,1.174,0.823,1.002,0.373,0.095,4.326,1.524,0.827,4.17,23.7,60.3,88,160,21.572,3.234,18.36,3.284,1.14,0.814,0.545,2.291,-0.241,0.177,1.254,1.336,0.739,,,,,,,,,,,,,,,,,,,53.291,53.379,32.633,9.393,,,,
E52,3.53,14.1,31.1,44.4,87.9,13.355,2.658,18,1.728,-1.053,0.008,-0.015,-0.562,-0.216,0.011,-3.668,-0.047,0.388,5.97,49.3,89,114,181,37.164,3.038,79,1.127,5.939,1.385,0.79,-3.03,0.637,-0.226,8.25,1.647,1.095,5.27,31.2,65.1,89,160,26.664,2.958,53.87,1.208,-0.578,0.772,0.389,-0.725,-0.219,-0.077,4.247,1.431,1.004,,,,,,,,,,,,,,,,,,,60.961,47.132,25.519,6.933,,,,
E53,2.71,11.7,25.9,36,69.2,10.798,2.71,7.758,3.338,-2.298,0.428,-0.054,1.417,-0.318,0.024,-7.724,0.951,0.118,4.98,62.4,114,146,237,41.74,3.591,60.5,1.884,2.139,0.861,0.318,-1.055,0.034,-0.027,4.188,1.123,0.057,3.55,12.5,25.6,35.9,73,11.928,2.444,14,1.829,-2.599,0.17,0.188,-0.738,-0.388,0.146,-4.758,0.285,0.371,,,,,,,,,,,,,,,,,,,105.101,92.359,30.633,20.584,,,,
