"","location02_methodI_0_95"
"mu","1.43863403546051"
"sigma","0.440345145337191"
"nFit","1952"
"R2","0.989744257029997"
"limit.Left","0.60110718015775"
"limit.Right","18.0094904360806"
"method","Method I"
"distribution","lognormal"
"iRight.1","2032"
"iRight.2","2033"
"iRight.3","2034"
"iRight.4","2035"
"iRight.5","2036"
"iRight.6","2037"
"iRight.7","2038"
"iRight.8","2039"
"iRight.9","2040"
"iRight.10","2041"
"iRight.11","2042"
"iRight.12","2043"
"iRight.13","2044"
"iRight.14","2045"
"iRight.15","2046"
"iRight.16","2047"
"iRight.17","2048"
"iRight.18","2049"
"iRight.19","2050"
"iRight.20","2051"
"iRight.21","2052"
"iRight.22","2053"
"iRight.23","2054"
"nOut.Left","0"
"nOut.Right","23"
"yMin","0.89"
"yMax","9.88"
"rho.Left","0.01"
"rho.Right","1"
"Fmin","0"
"Fmax","0.95"
