"","location20_methodI_0_95"
"mu","1.93815494322865"
"sigma","0.51142080436488"
"nFit","847"
"R2","0.98606893766667"
"limit.Left","0.794705388860048"
"limit.Right","33.1469452143814"
"method","Method I"
"distribution","lognormal"
"iRight.1","878"
"iRight.2","879"
"iRight.3","880"
"iRight.4","881"
"iRight.5","882"
"iRight.6","883"
"iRight.7","884"
"iRight.8","885"
"iRight.9","886"
"iRight.10","887"
"iRight.11","888"
"iRight.12","889"
"iRight.13","890"
"iRight.14","891"
"nOut.Left","0"
"nOut.Right","14"
"yMin","1.81"
"yMax","19"
"rho.Left","0.01"
"rho.Right","1"
"Fmin","0"
"Fmax","0.95"
