"","location04_methodI_0_95"
"mu","1.79366239690147"
"sigma","0.488958454945798"
"nFit","2048"
"R2","0.973942949063161"
"limit.Left","0.687955928366088"
"limit.Right","30.3511165630641"
"method","Method I"
"distribution","lognormal"
"iRight.1","2126"
"iRight.2","2127"
"iRight.3","2128"
"iRight.4","2129"
"iRight.5","2130"
"iRight.6","2131"
"iRight.7","2132"
"iRight.8","2133"
"iRight.9","2134"
"iRight.10","2135"
"iRight.11","2136"
"iRight.12","2137"
"iRight.13","2138"
"iRight.14","2139"
"iRight.15","2140"
"iRight.16","2141"
"iRight.17","2142"
"iRight.18","2143"
"iRight.19","2144"
"iRight.20","2145"
"iRight.21","2146"
"iRight.22","2147"
"iRight.23","2148"
"iRight.24","2149"
"iRight.25","2150"
"iRight.26","2151"
"iRight.27","2152"
"iRight.28","2153"
"iRight.29","2154"
"iRight.30","2155"
"nOut.Left","0"
"nOut.Right","30"
"yMin","1.21"
"yMax","16.27"
"rho.Left","0.01"
"rho.Right","1"
"Fmin","0"
"Fmax","0.95"
