"","location21_methodI_0_95"
"mu","1.96044765678874"
"sigma","0.525253781731502"
"nFit","778"
"R2","0.976210985250634"
"limit.Left","0.774120204390694"
"limit.Right","34.8830930433598"
"method","Method I"
"distribution","lognormal"
"iRight.1","807"
"iRight.2","808"
"iRight.3","809"
"iRight.4","810"
"iRight.5","811"
"iRight.6","812"
"iRight.7","813"
"iRight.8","814"
"iRight.9","815"
"iRight.10","816"
"iRight.11","817"
"iRight.12","818"
"nOut.Left","0"
"nOut.Right","12"
"yMin","1.5"
"yMax","20.46"
"rho.Left","0.01"
"rho.Right","1"
"Fmin","0"
"Fmax","0.95"
